V1,Height,Voice.part,Gender,Part,Within.part.level,Within.gender.level,Pitch
38,67,Soprano 2,female,Soprano,2,high,2. high
39,60,Soprano 2,female,Soprano,2,high,2. high
40,67,Soprano 2,female,Soprano,2,high,2. high
41,66,Soprano 2,female,Soprano,2,high,2. high
42,62,Soprano 2,female,Soprano,2,high,2. high
43,65,Soprano 2,female,Soprano,2,high,2. high
44,62,Soprano 2,female,Soprano,2,high,2. high
45,61,Soprano 2,female,Soprano,2,high,2. high
46,62,Soprano 2,female,Soprano,2,high,2. high
47,66,Soprano 2,female,Soprano,2,high,2. high
48,60,Soprano 2,female,Soprano,2,high,2. high
49,65,Soprano 2,female,Soprano,2,high,2. high
50,65,Soprano 2,female,Soprano,2,high,2. high
51,61,Soprano 2,female,Soprano,2,high,2. high
52,64,Soprano 2,female,Soprano,2,high,2. high
53,68,Soprano 2,female,Soprano,2,high,2. high
54,64,Soprano 2,female,Soprano,2,high,2. high
55,63,Soprano 2,female,Soprano,2,high,2. high
56,62,Soprano 2,female,Soprano,2,high,2. high
57,64,Soprano 2,female,Soprano,2,high,2. high
58,62,Soprano 2,female,Soprano,2,high,2. high
59,64,Soprano 2,female,Soprano,2,high,2. high
60,65,Soprano 2,female,Soprano,2,high,2. high
61,60,Soprano 2,female,Soprano,2,high,2. high
62,65,Soprano 2,female,Soprano,2,high,2. high
63,70,Soprano 2,female,Soprano,2,high,2. high
64,63,Soprano 2,female,Soprano,2,high,2. high
65,67,Soprano 2,female,Soprano,2,high,2. high
66,66,Soprano 2,female,Soprano,2,high,2. high
67,65,Alto 1,female,Alto,1,low,3. low
68,62,Alto 1,female,Alto,1,low,3. low
69,68,Alto 1,female,Alto,1,low,3. low
70,67,Alto 1,female,Alto,1,low,3. low
71,67,Alto 1,female,Alto,1,low,3. low
72,63,Alto 1,female,Alto,1,low,3. low
73,67,Alto 1,female,Alto,1,low,3. low
74,66,Alto 1,female,Alto,1,low,3. low
75,63,Alto 1,female,Alto,1,low,3. low
76,72,Alto 1,female,Alto,1,low,3. low
77,62,Alto 1,female,Alto,1,low,3. low
78,61,Alto 1,female,Alto,1,low,3. low
79,66,Alto 1,female,Alto,1,low,3. low
80,64,Alto 1,female,Alto,1,low,3. low
81,60,Alto 1,female,Alto,1,low,3. low
82,61,Alto 1,female,Alto,1,low,3. low
83,66,Alto 1,female,Alto,1,low,3. low
84,66,Alto 1,female,Alto,1,low,3. low
85,66,Alto 1,female,Alto,1,low,3. low
86,62,Alto 1,female,Alto,1,low,3. low
87,70,Alto 1,female,Alto,1,low,3. low
88,65,Alto 1,female,Alto,1,low,3. low
89,64,Alto 1,female,Alto,1,low,3. low
90,63,Alto 1,female,Alto,1,low,3. low
91,65,Alto 1,female,Alto,1,low,3. low
92,69,Alto 1,female,Alto,1,low,3. low
93,61,Alto 1,female,Alto,1,low,3. low
94,66,Alto 1,female,Alto,1,low,3. low
95,65,Alto 1,female,Alto,1,low,3. low
96,61,Alto 1,female,Alto,1,low,3. low
97,63,Alto 1,female,Alto,1,low,3. low
98,64,Alto 1,female,Alto,1,low,3. low
99,67,Alto 1,female,Alto,1,low,3. low
100,66,Alto 1,female,Alto,1,low,3. low
101,68,Alto 1,female,Alto,1,low,3. low
102,70,Alto 2,female,Alto,2,low,4. very low
103,65,Alto 2,female,Alto,2,low,4. very low
104,65,Alto 2,female,Alto,2,low,4. very low
105,65,Alto 2,female,Alto,2,low,4. very low
106,64,Alto 2,female,Alto,2,low,4. very low
107,66,Alto 2,female,Alto,2,low,4. very low
108,64,Alto 2,female,Alto,2,low,4. very low
109,70,Alto 2,female,Alto,2,low,4. very low
110,63,Alto 2,female,Alto,2,low,4. very low
111,70,Alto 2,female,Alto,2,low,4. very low
112,64,Alto 2,female,Alto,2,low,4. very low
113,63,Alto 2,female,Alto,2,low,4. very low
114,67,Alto 2,female,Alto,2,low,4. very low
115,65,Alto 2,female,Alto,2,low,4. very low
116,63,Alto 2,female,Alto,2,low,4. very low
117,66,Alto 2,female,Alto,2,low,4. very low
118,66,Alto 2,female,Alto,2,low,4. very low
119,64,Alto 2,female,Alto,2,low,4. very low
120,64,Alto 2,female,Alto,2,low,4. very low
121,70,Alto 2,female,Alto,2,low,4. very low
122,70,Alto 2,female,Alto,2,low,4. very low
123,66,Alto 2,female,Alto,2,low,4. very low
124,66,Alto 2,female,Alto,2,low,4. very low
125,66,Alto 2,female,Alto,2,low,4. very low
126,69,Alto 2,female,Alto,2,low,4. very low
127,67,Alto 2,female,Alto,2,low,4. very low
128,65,Alto 2,female,Alto,2,low,4. very low
129,69,Tenor 1,male,Tenor,1,high,1. very high
130,72,Tenor 1,male,Tenor,1,high,1. very high
131,71,Tenor 1,male,Tenor,1,high,1. very high
132,66,Tenor 1,male,Tenor,1,high,1. very high
133,76,Tenor 1,male,Tenor,1,high,1. very high
134,74,Tenor 1,male,Tenor,1,high,1. very high
135,71,Tenor 1,male,Tenor,1,high,1. very high
136,66,Tenor 1,male,Tenor,1,high,1. very high
137,68,Tenor 1,male,Tenor,1,high,1. very high
138,67,Tenor 1,male,Tenor,1,high,1. very high
139,70,Tenor 1,male,Tenor,1,high,1. very high
140,65,Tenor 1,male,Tenor,1,high,1. very high
141,72,Tenor 1,male,Tenor,1,high,1. very high
142,70,Tenor 1,male,Tenor,1,high,1. very high
143,68,Tenor 1,male,Tenor,1,high,1. very high
144,64,Tenor 1,male,Tenor,1,high,1. very high
145,73,Tenor 1,male,Tenor,1,high,1. very high
146,66,Tenor 1,male,Tenor,1,high,1. very high
147,68,Tenor 1,male,Tenor,1,high,1. very high
148,67,Tenor 1,male,Tenor,1,high,1. very high
149,64,Tenor 1,male,Tenor,1,high,1. very high
150,68,Tenor 2,male,Tenor,2,high,2. high
151,73,Tenor 2,male,Tenor,2,high,2. high
152,69,Tenor 2,male,Tenor,2,high,2. high
153,71,Tenor 2,male,Tenor,2,high,2. high
154,69,Tenor 2,male,Tenor,2,high,2. high
155,76,Tenor 2,male,Tenor,2,high,2. high
156,71,Tenor 2,male,Tenor,2,high,2. high
157,69,Tenor 2,male,Tenor,2,high,2. high
158,71,Tenor 2,male,Tenor,2,high,2. high
159,66,Tenor 2,male,Tenor,2,high,2. high
160,69,Tenor 2,male,Tenor,2,high,2. high
161,71,Tenor 2,male,Tenor,2,high,2. high
162,71,Tenor 2,male,Tenor,2,high,2. high
163,71,Tenor 2,male,Tenor,2,high,2. high
164,69,Tenor 2,male,Tenor,2,high,2. high
165,70,Tenor 2,male,Tenor,2,high,2. high
166,69,Tenor 2,male,Tenor,2,high,2. high
167,68,Tenor 2,male,Tenor,2,high,2. high
168,70,Tenor 2,male,Tenor,2,high,2. high
169,68,Tenor 2,male,Tenor,2,high,2. high
170,69,Tenor 2,male,Tenor,2,high,2. high
171,72,Bass 1,male,Bass,1,low,3. low
172,70,Bass 1,male,Bass,1,low,3. low
173,72,Bass 1,male,Bass,1,low,3. low
174,69,Bass 1,male,Bass,1,low,3. low
175,73,Bass 1,male,Bass,1,low,3. low
176,71,Bass 1,male,Bass,1,low,3. low
177,72,Bass 1,male,Bass,1,low,3. low
178,68,Bass 1,male,Bass,1,low,3. low
179,68,Bass 1,male,Bass,1,low,3. low
180,71,Bass 1,male,Bass,1,low,3. low
181,66,Bass 1,male,Bass,1,low,3. low
182,68,Bass 1,male,Bass,1,low,3. low
183,71,Bass 1,male,Bass,1,low,3. low
184,73,Bass 1,male,Bass,1,low,3. low
185,73,Bass 1,male,Bass,1,low,3. low
186,70,Bass 1,male,Bass,1,low,3. low
187,68,Bass 1,male,Bass,1,low,3. low
188,70,Bass 1,male,Bass,1,low,3. low
189,75,Bass 1,male,Bass,1,low,3. low
190,68,Bass 1,male,Bass,1,low,3. low
191,71,Bass 1,male,Bass,1,low,3. low
192,70,Bass 1,male,Bass,1,low,3. low
193,74,Bass 1,male,Bass,1,low,3. low
194,70,Bass 1,male,Bass,1,low,3. low
195,75,Bass 1,male,Bass,1,low,3. low
196,75,Bass 1,male,Bass,1,low,3. low
197,69,Bass 1,male,Bass,1,low,3. low
198,72,Bass 1,male,Bass,1,low,3. low
199,71,Bass 1,male,Bass,1,low,3. low
200,70,Bass 1,male,Bass,1,low,3. low
201,71,Bass 1,male,Bass,1,low,3. low
202,68,Bass 1,male,Bass,1,low,3. low
203,70,Bass 1,male,Bass,1,low,3. low
204,75,Bass 1,male,Bass,1,low,3. low
205,72,Bass 1,male,Bass,1,low,3. low
206,66,Bass 1,male,Bass,1,low,3. low
207,72,Bass 1,male,Bass,1,low,3. low
208,70,Bass 1,male,Bass,1,low,3. low
209,69,Bass 1,male,Bass,1,low,3. low
210,72,Bass 2,male,Bass,2,low,4. very low
211,75,Bass 2,male,Bass,2,low,4. very low
212,67,Bass 2,male,Bass,2,low,4. very low
213,75,Bass 2,male,Bass,2,low,4. very low
214,74,Bass 2,male,Bass,2,low,4. very low
215,72,Bass 2,male,Bass,2,low,4. very low
216,72,Bass 2,male,Bass,2,low,4. very low
217,74,Bass 2,male,Bass,2,low,4. very low
218,72,Bass 2,male,Bass,2,low,4. very low
219,72,Bass 2,male,Bass,2,low,4. very low
220,74,Bass 2,male,Bass,2,low,4. very low
221,70,Bass 2,male,Bass,2,low,4. very low
222,66,Bass 2,male,Bass,2,low,4. very low
223,68,Bass 2,male,Bass,2,low,4. very low
224,75,Bass 2,male,Bass,2,low,4. very low
225,68,Bass 2,male,Bass,2,low,4. very low
226,70,Bass 2,male,Bass,2,low,4. very low
227,72,Bass 2,male,Bass,2,low,4. very low
228,67,Bass 2,male,Bass,2,low,4. very low
229,70,Bass 2,male,Bass,2,low,4. very low
230,70,Bass 2,male,Bass,2,low,4. very low
231,69,Bass 2,male,Bass,2,low,4. very low
232,72,Bass 2,male,Bass,2,low,4. very low
233,71,Bass 2,male,Bass,2,low,4. very low
234,74,Bass 2,male,Bass,2,low,4. very low
235,75,Bass 2,male,Bass,2,low,4. very low
