"ID","value"
589,1223352000
590,153959
591,311686
592,87670
593,345000
594,424517
595,1060000
596,121544
597,225860
598,139798
599,86548
600,107400000
601,153959000
602,1747352000
603,3198121000
604,1.4e+09
605,1401172
606,451371
607,2647
608,67339
609,1007
610,620246
611,15826
612,8715
613,6559
614,44142
615,8340
616,161
617,82
618,39
619,626
620,178
621,9684
622,1121
623,2327
624,722
625,1161
626,122793
627,557
628,386
629,5786
630,263
631,927
632,63203
633,4747
634,450
635,833
636,1411
637,9858
638,130052
639,746474
640,1657828
641,551
642,31728
643,215088
644,1944
645,954194
646,233540
647,4381
648,46070
649,412410
650,6611
651,10328
652,36981
653,13227
654,5644
655,166
656,543
657,960
658,8022
659,841
660,1654
661,763
662,67719
663,390
664,221
665,3655
666,427
667,26087
668,1945
669,695
670,863
671,2477598
672,215059
673,196726
674,1074516
675,636
676,521889
677,1053191
678,472
679,17145
680,1026
681,1872286000
682,1229842000
683,51250000
684,9454000
685,3055004000
686,96454000
687,67513000
688,12755000
689,76472000
690,51600000
691,15450000
692,85460000
693,8793000
694,193987000
695,26687000
696,28491
697,11405
698,10377
699,9140
700,7123
701,177260
702,1500000
703,913480
704,6e+05
705,168722
706,4e+05
707,226300
708,926507000
709,2e+05
710,190300
711,925929000
712,150000
713,127000
714,646562000
715,2e+05
716,59700
717,269117000
718,150000
719,22200
720,122855000
721,8242000
722,7569000
723,7632000
724,6958000
725,5.5e+07
726,21706000
727,25755000
728,2638469000
729,3.3e+07
730,2.5e+07
731,24750000
732,7.1e+07
733,252
734,306
735,599
736,767
737,96
738,123
739,221
740,232
741,146
742,174
743,455
744,553
745,42
746,64
747,118
748,171
749,50
750,100
751,325
752,365
753,157
754,188
755,475
756,581
757,12401
758,9336
759,40450
760,58270
761,83
762,101
763,107
764,163
765,12
766,17
767,17
768,23
769,1261524
770,1207281
771,1040916
772,1270954
