word,length,M AROU,SD AROU,N AROU,M VAL,SD VAL,N VAL,M DOM,SD DOM,N DOM,M CNC,SD CNC,N CNC,M IMAG,SD IMAG,N IMAG,M FAM,SD FAM,N FAM,M AOA,SD AOA,N AOA,M SIZE,SD SIZE,N SIZE,M GEND,SD GEND,N GEND
abuse,5,4.8788,2.7826,33,1.5625,1.4987,32,2.5,1.7678,32,3.4194,1.4761,31,3.9091,1.7121,33,5.2,1.3515,30,5.1765,1.2712,34,4.7429,1.6792,35,5.0606,1.347,33
abuser,6,5.0588,3.2171,34,1.3939,0.8506,33,3.7429,2.9017,35,4.6667,1.735,33,5.0286,1.6645,35,4.4412,1.7522,34,5.6571,1.0126,35,5.4706,1.4191,34,5.5714,1.0498,35
abyss,5,6.2258,1.9627,31,3.1875,1.9754,32,3.4333,2.1242,30,3.1765,1.74,34,4.2353,2.1565,34,3.2424,1.9074,33,6.1563,0.87,32,6.2424,1.0159,33,4.3438,1.3136,32
academic,8,5.6774,2.1759,31,7.3871,1.3602,31,5.7879,2.3838,33,3.9375,1.4987,32,4.1667,1.5934,30,6.1724,0.8333,29,4.9394,1.2778,33,5.5,1.1456,32,4.303,1.2669,33
accelerate,10,6.7188,1.484,32,6.4242,1.1814,33,6.8485,1.459,33,4.5,1.6847,34,4.5484,1.5417,31,6.0323,1.3556,31,5.1515,1.1579,33,4.9375,1.2484,32,4.8824,1.1823,34
accent,6,5.5455,1.9242,33,5.6286,1.2668,35,5.1818,1.6779,33,3.6,1.6937,35,3.6176,2.0294,34,5.8387,1.3935,31,4.0588,1.1361,34,4.0303,1.0867,33,3.8529,0.9118,34
accept,6,5.1818,1.7999,33,6.6875,1.3332,32,5.9688,1.8955,32,3.1935,1.6148,31,2.9032,1.7844,31,6.1071,1.0803,28,4.2353,1.0307,34,4.4,1.052,30,3.25,0.9354,32
acceptance,10,4.8788,1.9503,33,7.5,1.144,34,5.9429,2.0968,35,2.7941,1.4303,34,2.5152,1.1043,33,5.4063,1.3888,32,4.8,1.2829,35,5.3824,1.1635,34,3.1471,0.8789,34
access,6,4.2188,1.7453,32,6.3529,1.0815,34,5.7941,1.7112,34,3.4545,1.616,33,3.25,1.1726,32,5.4688,1.2243,32,4.5152,1.2339,33,3.8788,1.0662,33,3.9412,0.7647,34
accident,8,5.4,2.1804,35,2.7273,1.1084,33,3.0294,1.524,34,4.3429,1.5665,35,4.9429,1.8508,35,6.1429,0.9147,28,2.8824,1.3452,34,4.9714,1.2758,35,4.1212,0.769,33
accidental,10,4.3824,1.8473,34,3.9412,1.1617,34,4.1818,1.7999,33,2.9412,1.282,34,3.1765,1.5237,34,5.8276,1.1163,29,3.3235,1.277,34,4.0294,1.317,34,3.9394,1.0993,33
accordion,9,4.0938,2.7083,32,5.7273,1.1355,33,5.4839,1.7203,31,6.5,0.9471,34,6.4375,1.1709,32,3.7879,1.4514,33,4.2647,1.3786,34,3.5294,1.5384,34,4.1563,0.9391,32
accountant,10,2.9655,1.7317,29,4.4333,1.0225,30,4.3448,1.6666,29,5.8,1.0456,30,5.1667,1.4395,30,4.6552,1.9168,29,5.3125,1.3793,32,3.9643,1.4011,28,4.9643,1.085,28
accuse,6,5.7419,1.8134,31,2.7419,0.717,31,4.7742,2.0432,31,2.3438,0.8877,32,2.4516,1.3875,31,4.8889,1.3966,27,4.6129,1.1267,31,4.9667,1.3287,30,4.1111,0.9162,27
accused,7,4.8485,2.2713,33,2.5455,1.2332,33,2.7813,1.6721,32,3.0882,1.4626,34,3.3824,1.6091,34,5,1.6189,29,4.6176,1.0851,34,4.3636,1.3443,33,4.6774,0.9293,31
ace,3,5.6667,2.0841,33,7.3333,1.2472,33,6.129,1.3852,31,3.1935,1.5538,31,3.697,1.9922,33,4.2963,1.6514,27,3.9394,1.347,33,4.2813,1.5255,32,4.4615,1.1842,26
ache,4,5.1667,1.8454,30,2.7879,0.8441,33,3.3125,1.2609,32,3.5625,1.5194,32,2.8,1.5578,30,6,0.8485,25,3.7813,1.2433,32,3.6207,1.3998,29,3.9355,1.0453,31
aches,5,4.125,2.0272,32,2.871,0.9752,31,2.8125,1.1022,32,3.8125,1.6852,32,3.2188,1.6533,32,5.5926,1.163,27,4,1.3693,32,3.9655,1.5196,29,3.8519,1.0075,27
achieve,7,6.4242,1.9545,33,7.8387,1.3701,31,7.1563,1.7159,32,2.8788,1.4304,33,2.6774,1.5322,31,5.6667,0.9813,27,4.5313,1.0893,32,5.2759,1.3364,29,3.9615,0.8979,26
achieved,8,6.1765,2.093,34,8.0588,1.0273,34,7.4412,1.4182,34,2.5,1.2661,34,3.0882,1.7718,34,5.9355,1.2164,31,4.5294,1.2888,34,5.3429,1.1939,35,3.9394,1.2778,33
achievement,11,6.5,2.222,32,7.9375,1.4777,32,7.4516,1.187,31,2.9063,1.4,32,3.875,1.7455,32,6.2,1.1372,30,4.4545,1.2083,33,5.7097,1.3245,31,3.9355,1.1053,31
acorn,5,4.3438,1.7785,32,5.7667,1.116,30,5.5,1.1726,32,6.6923,0.6057,26,6.5,0.6814,28,4.4667,1.9448,30,3.0625,1.1163,32,1.875,1.4737,32,3.68,0.7332,25
acquire,7,4.3226,1.8732,31,6.2571,1.1044,35,6.1563,1.752,32,3.0588,1.4337,34,2.5294,1.46,34,5.1212,1.3873,33,5.8286,0.9098,35,4,1,34,4.1613,0.8461,31
acrobat,7,5.3125,2.1569,32,6.0313,1.1588,32,5.1333,1.5217,30,5.875,1.111,32,6,0.8305,29,4.3,1.9,30,4.1765,1.0702,34,3.6176,1.1635,34,3.5313,1.2987,32
activate,8,5.4194,2.3109,31,6.6129,1.1267,31,6.2941,1.8555,34,3.6765,1.761,34,3.0625,1.6571,32,5.4194,1.4761,31,4.625,0.9922,32,4.3,1.005,30,4.1613,1.2468,31
active,6,6.5313,1.7851,32,7,0.9014,32,6.5806,1.1295,31,3.6774,1.2798,31,4.75,1.6771,32,6.4483,0.7695,29,3.5806,1.0709,31,4.7742,1.3845,31,4.2,1.1075,30
activity,8,6.0857,1.9327,35,6.6286,1.0443,35,6.2857,1.4846,35,3.9688,1.1854,32,4.6667,1.1976,33,5.6207,0.9618,29,3.4,1.0198,35,4.4286,1.0498,35,4.0313,1.015,32
actor,5,5.5152,2.2036,33,6.2813,1.4194,32,5.6667,1.7174,33,5.7,1.1874,30,6,1.0328,30,5.9231,1.5172,26,3.4118,0.8443,34,4.4688,1.3916,32,5.75,1.0308,32
actress,7,5.6129,2.0269,31,5.8438,1.5833,32,5.125,1.691,32,6.0313,1.3106,32,6.5625,0.6092,32,5.6364,1.463,22,3.4118,1.0878,34,4.1471,1.2159,34,1.303,0.6269,33
actual,6,4.1212,1.6653,33,5.5588,0.9453,34,5.2353,1.628,34,3.1176,1.8273,34,2.6176,1.8473,34,6.2188,0.8921,32,3.9394,1.2778,33,4.2059,1.3011,34,4.1176,1.1572,34
actually,8,4.3939,1.89,33,5.5588,0.8809,34,5.1765,1.4445,34,2.697,1.1674,33,2.2,1.2829,35,6.2353,1.2381,34,3.8235,1.2478,34,4.0303,1.0294,33,3.0882,1.0946,34
acute,5,4.2353,2.0445,34,4.9394,1.2538,33,4.9118,1.5599,34,3.2353,1.6099,34,2.697,1.6234,33,4.1818,1.9455,33,5.7273,1.1355,33,2.6364,1.4938,33,3.6061,0.9829,33
adage,5,3.1176,2.0546,17,5.2222,0.5329,18,5.2222,1.2273,18,3.5882,1.4576,17,2.2353,1.832,17,2.0882,1.837,34,6.0952,1.2688,21,3.5333,1.0242,15,4.0588,1.2113,17
adapt,5,4.1613,1.936,31,6.1176,1.4706,34,5.7647,1.7997,34,3.1176,1.3008,34,3.0286,1.4439,35,5.3235,1.4697,34,4.7429,1.1299,35,4.2059,1.1319,34,3.8182,0.796,33
add,3,4,1.942,35,5.6471,0.836,34,5.6364,1.2509,33,4.2059,1.4303,34,3.9429,1.8814,35,6.2424,0.9544,33,2.3529,0.836,34,3.7143,1.5037,35,4.1176,0.718,34
addict,6,4.8571,2.307,35,2.1714,1.108,35,3.0857,2.2344,35,4.4,1.6937,35,5,1.6733,35,5.2727,1.523,33,5.4,1.0198,35,4.7714,1.5135,35,4.8857,1.0629,35
addicted,8,6.0938,2.1702,32,2.4242,0.9221,33,2.2813,1.9078,32,3.4063,1.5178,32,3.1212,1.8217,33,5.6,1.5406,30,4.9688,1.237,32,5.4839,1.3167,31,5,0.9837,31
addition,8,3.4,1.8701,35,5.4571,0.8732,35,5.6286,1.0166,35,3.6765,1.8266,34,3.3714,1.7086,35,5.3636,1.6664,33,3.3714,1.0443,35,4.3143,1.0629,35,3.7879,0.7285,33
address,7,3.2727,1.8631,33,5.3939,0.7761,33,5.3636,1.4103,33,5.0588,1.3271,34,4.3429,1.8508,35,5.7778,1.5947,27,3.3714,1.1234,35,3.9118,1.2918,34,4,0.6963,33
address (postal),7,3.5455,1.9399,33,5,0.7385,33,5.1143,1.4885,35,5.5806,1.4541,31,4.5588,1.6484,34,6.0968,1.146,31,3.0588,1.0556,34,3.4706,1.4191,34,4,0.6124,32
address (speak to),7,3.9697,2.0521,33,5.5758,1.0739,33,6.1818,2.0664,33,4.1143,1.6522,35,4.2,1.6699,35,4.8571,1.7095,35,4.8,1.0902,35,4.1765,1.5237,34,3.8235,0.954,34
adequate,8,3.8571,1.6758,35,5.3333,1.5635,36,4.7647,1.7832,34,2.5,1.3985,34,2.7879,1.5127,33,5.2258,1.7727,31,5.5714,1.42,35,3.7813,1.3401,32,4.0556,1.246,36
adjective,9,3.7188,1.6999,32,5.4063,0.8609,32,4.8438,1.5229,32,3.5938,1.7653,32,2.7419,1.6842,31,5.5667,1.2828,30,4.1818,0.9678,33,3.4545,1.479,33,3.7188,0.9432,32
adjust,6,4.3636,1.7024,33,5.7273,1.2619,33,5.7097,1.5491,31,3.0606,1.3693,33,3,1.6877,33,5.8148,1.2483,27,4.2941,1.1254,34,3.75,1.1456,32,3.8788,0.9131,33
admiral,7,5.0286,1.9926,35,5.9091,1.4845,33,6.6129,2.2814,31,5.7059,1.4858,34,5.6875,1.57,32,3.8,1.833,30,4.9697,1.3814,33,4.9375,1.3905,32,6.0313,0.8833,32
admire,6,6.2941,1.8713,34,7.625,1.1388,32,5.7742,1.7727,31,2.7097,1.5068,31,3.6452,1.8587,31,6,0.9813,27,4.5938,1.1141,32,4.6129,0.7902,31,3.125,1.4524,32
admired,7,6.6,1.5344,35,7.9697,0.8699,33,6.7143,2.159,35,2.8824,1.3883,34,2.8529,1.5172,34,5.5714,1.1535,35,4.6571,1.3081,35,4.9706,1.0977,34,3.303,1.5073,33
adopt,5,4.3871,1.5591,31,6.0938,1.6651,32,5.4688,1.5609,32,3.6452,1.4491,31,3.0968,1.5524,31,4.7931,1.562,29,4.2903,0.9569,31,4.4667,1.147,30,2.6923,0.8213,26
adorable,8,6.9333,1.4126,30,7.7813,1.1655,32,5.375,1.9961,32,2.2581,0.717,31,3.4688,1.5808,32,5.4583,0.9565,24,4.2813,1.5858,32,4.3333,1.6102,27,2.3448,0.9201,29
adore,5,6.5161,1.8469,31,8.2258,0.8312,31,5.5161,2.1383,31,2.3438,1.0189,32,3.3548,1.6762,31,5.04,1.28,25,4.2903,1.1414,31,4.9355,1.2935,31,2.5714,0.9422,28
adult,5,5.0588,1.9088,34,6,1.2383,30,6.1613,2.2157,31,4.7778,1.3699,27,5.3704,1.3095,27,6.5185,0.6869,27,2.697,0.8343,33,4.4828,1.1332,29,4.0968,0.8559,31
adultery,8,5.9118,2.6719,34,1.9091,1.2151,33,4.4118,2.4146,34,4.0294,1.6888,34,4.1515,1.9247,33,4.8,1.6411,30,6.1471,1.0328,34,5.3235,1.2537,34,4.3235,1.4084,34
adults,6,4.5588,2.2777,34,5.5588,1.0056,34,5.6286,2.1789,35,5.4571,1.6621,35,6.1875,1.044,32,6.5,0.8466,30,2.3143,0.9187,35,4.5714,1.44,35,4.3429,0.7538,35
advanced,8,5.5152,1.8443,33,6.6061,1.9375,33,6.1176,1.9215,34,2.7879,1.2249,33,3.0882,1.6155,34,6.0333,1.1101,30,4.8824,1.3452,34,5.0882,1.2216,34,4.0313,1.0454,32
advantage,9,6.5484,1.0109,31,7.303,1.1674,33,7.2,1.5144,30,2.8387,1.3935,31,2.7188,1.5659,32,5.8462,1.0631,26,4.7273,0.9931,33,5.2581,0.9827,31,4.7407,0.8858,27
adventure,9,8.0303,1.1411,33,7.9706,0.9847,34,7.3871,1.8082,31,2.9118,1.541,34,4.7429,1.7459,35,5.5758,1.256,33,2.9412,1.0556,34,6.2188,0.9265,32,4.8438,0.8333,32
adverb,6,2.9355,1.8997,31,5.0968,0.8559,31,5.2353,1.0307,34,3.3143,1.6864,35,2.5294,1.5384,34,4.7857,1.2917,28,4.6471,0.9666,34,3.1212,1.5326,33,4.0323,0.8608,31
adverse,7,4.3714,2.2562,35,3.0909,1.464,33,3.5938,1.5382,32,2.4545,1.5194,33,2.5294,1.6131,34,4.7059,1.791,34,5.7647,1.3945,34,4.7879,1.409,33,4.25,1,32
adversity,9,4.8,2.3295,30,3.7742,1.736,31,4.3,2.0841,30,2.4839,1.1034,31,2.5667,1.2828,30,4.1613,2.0176,31,6.2258,0.9405,31,5.2069,1.2698,29,4.5357,1.1797,28
advice,6,4.125,1.6536,32,6.2286,1.2668,35,5.2286,2.0296,35,2.3529,1.1853,34,2.7576,1.538,33,6.0667,1.34,30,4.6571,1.0126,35,4.2121,1.3653,33,2.9063,1.1,32
advise,6,4.1818,1.5851,33,6.4412,1.2412,34,5.8125,1.9912,32,3.7188,1.5255,32,2.7879,1.2734,33,5.6774,1.2284,31,4.5714,1.2713,35,4.3226,1.0892,31,3.2,1.1944,30
advisor,7,3.4375,1.8017,32,6.0606,0.9515,33,5.1471,2.0166,34,5.3529,1.3258,34,4.1818,1.7137,33,5.1667,1.4395,30,5.4412,1.1929,34,3.9677,0.9995,31,4.1765,1.424,34
advisors,8,3.6061,2.0735,33,6,1.4142,33,4.7742,1.736,31,4.7097,1.7075,31,4.625,1.7984,32,5.6552,1.3964,29,5.6774,1.2284,31,4.7333,1.0625,30,4.0333,1.3536,30
aeroplane,9,4.9143,2.1957,35,5.9412,1.3048,34,4.5294,1.4397,34,6.7576,0.5521,33,6.8182,0.4576,33,6.2069,0.8461,29,2.3429,1.1198,35,5.8824,1.6227,34,5.1471,1.0328,34
afar,4,3.871,1.8446,31,4.303,1.3139,33,4.4412,1.3973,34,3.0667,1.5478,30,3.7879,1.6098,33,4.0323,1.9258,31,5.1176,1.1315,34,4.4848,1.7429,33,3.7333,0.9286,30
affair,6,5.9688,2.3912,32,2.4242,1.3034,33,4.4545,2.4382,33,3.3939,1.4342,33,4.4242,1.8096,33,5.6333,1.6017,30,5.6176,1.0004,34,4.7188,1.3746,32,4.2727,1.8303,33
affect,6,4.6061,2.0881,33,4.9412,1.0273,34,5.1765,2.2025,34,2.4118,1.1661,34,2.1765,1.1998,34,5.5313,1.3689,32,4.5,1.1943,34,4.2424,1.256,33,3.6061,1.0132,33
affection,9,6.8235,2.1621,34,8.1765,0.954,34,5.5882,2.1844,34,3.1176,1.9518,34,4.5294,1.7018,34,5.8485,1.048,33,4.6364,1.2749,33,5.3939,1.2294,33,1.7714,0.6797,35
affectionate,12,7.3939,1.4552,33,8,0.8528,33,6.2727,1.7799,33,3.4706,1.8188,34,4.6364,1.7892,33,6.1212,1.0943,33,4.9697,1.4031,33,5.5152,0.7435,33,2.0909,1.055,33
afford,6,4.9394,2.1453,33,5.8788,1.9963,33,5.1765,2.2683,34,3.5758,1.6883,33,3.3636,1.4527,33,5.625,1.4737,32,4.3235,1.4496,34,4.2727,1.309,33,4.4706,1.0637,34
affordable,10,4.7742,2.0274,31,6.8,1.3266,35,4.9412,1.6439,34,3.2,1.369,35,3.1714,1.5764,35,5.9394,1.0714,33,4.7714,1.3112,35,3.5625,1.1439,32,3.9394,0.8142,33
afraid,6,5.6471,2.4481,34,2.2059,0.8324,34,2.5152,1.438,33,2.6857,1.3684,35,4.5152,1.6899,33,6.0345,1.2994,29,2.6,0.9621,35,5.2647,1.1958,34,3.3529,1.1083,34
after,5,4.3824,1.8473,34,5.1429,0.9604,35,4.5758,1.1555,33,3.3143,1.4885,35,2.7429,1.4802,35,5.7,1.464,30,2.2571,0.8051,35,3.9697,1.1674,33,4,0.5774,30
afterlife,9,5,2.3613,33,5.2121,2.1143,33,3.4545,1.9862,33,2.303,1.642,33,2.9394,1.8081,33,4.8065,1.5117,31,4.697,1.3368,33,5.9063,1.3313,32,3.8788,0.8074,33
age,3,3.5143,1.7627,35,4.9394,0.9829,33,4.7143,1.7496,35,3.9706,1.8706,34,3.2857,1.8909,35,6.3636,1.0392,33,1.9706,0.747,34,4.4706,1.4997,34,3.9143,1.0789,35
aged,4,2.9118,1.6515,34,3.8438,1.6791,32,3.8485,2.2173,33,3.4412,1.5939,34,4.4412,1.5939,34,5.4375,1.5996,32,4.3714,1.7902,35,4.375,1.7633,32,4.4412,1.2412,34
agent,5,4.5,1.7666,62,5.1111,1.1284,63,5.2258,1.7173,62,4.7377,1.2662,61,4.371,1.5265,62,4.9138,1.7644,58,4.7879,1.2734,66,4.0169,1.1423,59,4.8621,1.0077,58
aggression,10,6.0938,2.4026,32,2.1935,1.2292,31,5.2424,2.7527,33,3.5484,1.6818,31,4.4667,1.8209,30,4.8148,1.4666,27,5.1515,1.0765,33,5.4667,1.3597,30,5.9667,0.836,30
aggressive,10,6.4545,2.1047,33,2.0938,1.1821,32,5.9091,2.4416,33,3.0625,1.1163,32,4.1613,1.6675,31,5.4828,1.3031,29,4.6364,1.1233,33,5.1724,1.3149,29,6.0741,0.8131,27
agile,5,6.3333,1.8368,33,6.9412,1.1361,34,5.7879,1.9189,33,3.6061,1.6686,33,4.4242,1.5769,33,4.2727,1.7968,33,5.3824,1.2606,34,3.7353,1.3786,34,3.2813,1.484,32
agility,7,5.9394,1.906,33,6.7778,1.2044,36,6.5429,1.8722,35,3.5152,1.6166,33,3.6571,2.0134,35,4.6333,1.8345,30,5.3333,1.2693,36,4.1515,1.3055,33,4.0857,1.3809,35
agony,5,5.5152,2.4756,33,1.5313,0.9008,32,3.0313,1.9119,32,3.0938,1.7564,32,4.2333,1.8918,30,5.2667,1.6111,30,4.2424,1.129,33,5.5152,1.1314,33,4.0625,1.2975,32
agree,5,5.3824,1.4756,34,7.4063,1.343,32,6.7941,1.5488,34,3.0625,1.4987,32,3.3333,1.6817,33,6.7586,0.5021,29,3.0909,0.7533,33,4.7273,1.2129,33,3.6364,0.9477,33
agreement,9,5.5455,2.0903,33,7.7143,1.002,35,5.4848,2.2579,33,3.1714,1.521,35,3.7273,1.8953,33,5.871,1.2376,31,4.6471,1.2098,34,4.8788,1.3429,33,3.4667,1.147,30
aid,3,5.2188,1.7631,32,6.9375,1.3448,32,4.9677,1.6941,31,4.3636,1.5338,33,4.0333,1.4716,30,5.4444,1.2571,27,4.4242,1.256,33,4.4545,1.1571,33,3.7097,1.0834,31
aim,3,4.8182,2.0955,33,6.6061,1.2294,33,6.9412,1.6439,34,2.5455,1.3278,33,2.9412,1.6967,34,5.875,1.111,32,3.8571,1.334,35,4.2059,1.2551,34,4.2903,0.887,31
aim (objective),3,4.9091,2.3402,33,6.3824,1.1885,34,5.9375,2.0454,32,3.2941,1.8396,34,2.9091,1.5833,33,6.0303,1.0294,33,4.5294,1.3336,34,4.5,1.3985,34,4.2424,1.1018,33
aim (target),3,5.2,2.2142,35,5.5,1.5577,34,6.7143,1.6313,35,4.6571,1.5846,35,5.2857,1.6137,35,5.9375,0.9662,32,3.6176,1.5342,34,3.6857,1.6173,35,4.7879,1.1216,33
air,3,4.8065,1.8737,31,6.75,1.4299,28,4.8276,1.5989,29,4.25,1.4577,32,2.9688,1.7227,32,6.1,1.3379,20,2.4839,1.0119,31,4.7419,2.2428,31,3.4583,0.865,24
airplane,8,5.3939,2.1873,33,5.7941,1.5677,34,5.4545,2.0611,33,6.7059,0.787,34,6.8438,0.4408,32,6.1786,1.2263,28,2.1765,0.7464,34,5.7353,1.852,34,5.125,1.2686,32
airport,7,5.7931,1.8824,29,5.3871,1.4068,31,5.5313,1.9037,32,6.5,0.8851,30,6.5517,0.6207,29,5.5769,1.8011,26,3.0938,0.9798,32,5.7742,1.361,31,4.5,0.723,22
aisle,5,3.7,1.7916,30,5.2,1.0132,30,4.7,1.2423,30,5.7419,1.0463,31,5.3667,1.016,30,4.7143,1.3851,28,4.5313,1.1722,32,3.7813,1.1106,32,3.3077,0.8213,26
albatross,9,4.2,2.3861,60,5.129,1.1568,62,5.2712,1.645,59,6.4754,1.1538,61,5.5439,1.697,57,2.8308,1.8193,65,5.5538,1.4254,65,4.2063,1.5852,63,4.6897,0.9506,58
album,5,4.0313,1.9919,32,5.7667,0.9894,30,5.2963,0.895,27,6,1.0828,29,5.6333,0.9481,30,5.76,1.4221,25,3.9355,1.1053,31,2.875,1.3405,32,4.16,0.9243,25
alcohol,7,5.7576,2.1747,33,5.2188,1.7631,32,4.8824,1.9669,34,6.4118,0.8087,34,6.2941,1.0718,34,6.1071,1.4228,28,4.8286,1.3625,35,4.1714,1.3625,35,4.5758,0.8176,33
alcoholic,9,4.6857,2.5942,35,2,1.5492,35,2.8857,2.1748,35,4.4242,1.5576,33,5.4194,1.6612,31,5.9688,1.4892,32,5.6857,1.0629,35,4.5714,1.536,35,5.2286,1.1732,35
alert,5,6.5484,1.9317,31,5.7667,1.6869,30,6.2333,2.0279,30,3.1875,1.4238,32,3.3333,1.5563,30,5.24,1.3351,25,4.4063,1.2465,32,4.9643,1.3224,28,4.32,0.7332,25
algebra,7,2.2667,1.6519,30,3.8387,1.7057,31,3.871,1.6799,31,4.4688,1.9523,32,5.1818,1.5266,33,5.3448,1.7474,29,5.6364,1.2015,33,4,1.5411,32,4.6452,0.8249,31
alien,5,5.3548,2.6706,31,4.6667,1.6268,33,4.1765,1.6174,34,4.0645,1.9828,31,5.7097,1.904,31,4.9032,1.7844,31,3.3143,1.0357,35,4.5455,1.1306,33,4.8824,1.1823,34
