"Age","AvgG","Chdn","ExEd","CR","Sex","SecE","AvgE","FinalE"
30,7.4012,0,0,"0","0","0",2.815,"Pass"
24,7.8379,0,1,"0","0","0",3.094,"Pass"
24,5.8823,0,0,"0","0","1",1.752,"Fail"
27,7.8186,1,1,"0","1","0",2.845,"Pass"
33,8.1934,2,2,"0","1","0",2.796,"Pass"
27,9.2181,0,3,"0","0","0",4.771,"Pass"
22,6.5428,0,0,"0","0","0",2.133,"Pass"
21,7.9797,0,2,"0","1","0",2.69,"Pass"
23,5.342,0,0,"0","0","0",1.587,"Fail"
31,8.1818,1,1,"0","0","0",3.367,"Pass"
37,8.6638,3,1,"0","0","0",3.062,"Pass"
22,7.9513,0,0,"1","1","0",2.904,"Pass"
31,4.5764,1,0,"0","0","0",1.377,"Fail"
35,8.13,2,1,"0","0","0",2.929,"Pass"
32,7.6479,1,2,"0","0","0",2.834,"Pass"
30,8.5148,2,1,"0","1","0",3.087,"Pass"
23,6.3403,0,2,"0","0","0",2.153,"Pass"
21,7.8996,0,0,"0","1","0",2.716,"Pass"
26,9.7825,0,2,"0","0","0",4.382,"Pass"
23,7.9808,0,2,"0","1","0",2.878,"Pass"
25,8.4239,0,1,"0","1","0",2.916,"Pass"
23,7.0776,0,0,"0","0","0",2.365,"Pass"
26,7.9858,1,1,"0","1","0",2.801,"Pass"
23,9.3819,0,3,"0","0","0",4.78,"Pass"
27,8.1491,0,1,"0","0","0",3.241,"Pass"
20,6.5485,0,0,"0","0","0",2.108,"Pass"
23,7.1477,0,0,"0","0","0",2.541,"Pass"
27,6.3609,1,0,"0","0","0",1.996,"Fail"
34,6.7348,3,4,"0","0","1",2.256,"Pass"
23,6.1101,0,0,"0","0","0",2.01,"Pass"
29,6.5434,2,0,"1","0","1",2.177,"Pass"
28,8.188,1,2,"0","1","0",2.869,"Pass"
24,7.5136,0,2,"0","0","0",2.699,"Pass"
22,8.4014,0,0,"0","0","0",3.419,"Pass"
20,5.7183,0,1,"0","0","0",1.802,"Fail"
29,5.054,2,0,"0","1","0",1.566,"Fail"
28,6.3008,0,0,"0","0","0",1.944,"Fail"
35,9.2676,3,1,"0","1","0",2.956,"Pass"
28,8.6478,1,3,"0","0","0",3.88,"Pass"
21,7.3683,0,0,"0","0","0",3.566,"Pass"
24,6.4903,0,0,"0","0","1",2.181,"Pass"
24,8.1203,0,0,"0","1","0",2.87,"Pass"
21,7.3329,0,0,"0","0","0",2.698,"Pass"
24,7.5642,0,2,"0","1","0",2.617,"Pass"
33,7.5016,2,0,"0","0","0",2.865,"Pass"
22,6.9321,0,1,"0","0","0",2.345,"Pass"
23,9.9106,0,1,"0","0","0",4.28,"Pass"
34,7.0592,0,1,"0","0","0",2.373,"Pass"
22,7.168,0,0,"1","0","0",2.525,"Pass"
20,8.3167,0,1,"0","0","0",3.456,"Pass"
27,8.2052,0,2,"0","0","0",3.195,"Pass"
22,7.8223,0,0,"0","0","0",2.866,"Pass"
19,7.466,0,0,"0","0","0",2.661,"Pass"
23,6.9048,0,2,"0","0","0",2.366,"Pass"
23,4.9436,0,0,"0","0","0",1.578,"Fail"
24,7.9695,0,2,"0","0","0",3.004,"Pass"
20,4.1311,0,0,"0","0","0",1.411,"Fail"
23,6.9448,0,0,"0","1","0",2.461,"Pass"
23,6.0125,0,1,"0","0","1",1.806,"Fail"
22,8.167,0,0,"1","0","0",2.753,"Pass"
22,7.1736,0,0,"0","0","0",2.578,"Pass"
36,8.7356,1,0,"0","0","0",3.87,"Pass"
31,8.1631,2,1,"0","0","0",2.836,"Pass"
20,5.3976,0,1,"0","0","0",1.648,"Fail"
20,8.5366,0,1,"0","1","0",2.923,"Pass"
25,5.4909,0,0,"0","1","0",1.688,"Fail"
23,7.0142,0,1,"0","1","0",2.503,"Pass"
24,7.7423,0,2,"0","0","0",3.039,"Pass"
19,6.869,0,0,"0","0","0",2.421,"Pass"
23,8.0531,0,0,"0","1","0",2.979,"Pass"
29,9.257,1,3,"1","0","0",2.929,"Pass"
27,7.876,1,1,"0","0","0",2.944,"Pass"
25,5.4634,0,0,"0","0","0",1.592,"Fail"
23,7.9183,0,1,"0","1","0",2.757,"Pass"
30,5.4529,1,0,"0","0","0",1.646,"Fail"
29,8.4712,1,0,"0","0","0",3.759,"Pass"
27,7.6791,0,0,"0","0","0",2.832,"Pass"
22,5.5867,0,0,"0","0","0",1.665,"Fail"
21,4.6294,0,0,"0","0","0",1.431,"Fail"
20,6.6749,0,0,"0","1","0",2.148,"Pass"
22,6.3224,0,1,"0","0","0",2.064,"Pass"
25,8.4668,0,1,"0","1","0",3.029,"Pass"
27,8.3352,1,1,"0","1","0",2.809,"Pass"
22,7.238,0,0,"0","0","0",2.678,"Pass"
23,8.0576,0,0,"0","0","0",3.305,"Pass"
22,6.8163,0,0,"0","0","0",2.263,"Pass"
21,8.1201,0,0,"0","1","1",2.858,"Pass"
27,6.0111,0,0,"0","0","0",1.871,"Fail"
23,4.9753,0,0,"0","0","0",1.521,"Fail"
24,5.6897,0,0,"0","0","0",1.656,"Fail"
33,7.6767,1,1,"1","0","0",2.567,"Pass"
21,5.6348,0,0,"0","0","0",1.644,"Fail"
32,8.3767,2,2,"0","0","0",3.031,"Pass"
33,8.8913,2,3,"0","0","0",3.059,"Pass"
27,9.5561,1,2,"0","0","0",4.522,"Pass"
29,8.4126,1,1,"0","0","0",3.595,"Pass"
21,4.3716,0,0,"0","0","0",1.317,"Fail"
20,6.9885,0,0,"0","0","0",2.437,"Pass"
29,7.4546,2,0,"0","1","0",2.728,"Pass"
24,4.184,0,0,"0","0","0",1.372,"Fail"
22,7.0992,0,1,"1","1","0",2.356,"Pass"
28,8.4852,1,0,"0","1","0",2.904,"Pass"
26,9.2018,0,1,"0","0","0",4.456,"Pass"
30,7.9758,1,2,"0","1","1",2.654,"Pass"
20,6.9835,0,0,"0","0","1",2.541,"Pass"
26,7.1654,1,0,"0","1","0",2.398,"Pass"
28,5.0328,0,0,"0","0","1",1.554,"Fail"
21,8.0802,0,2,"0","0","0",3.175,"Pass"
30,9.3104,1,2,"1","0","0",2.953,"Pass"
30,4.8413,2,0,"0","1","0",1.454,"Fail"
20,6.4189,0,1,"0","0","0",2.089,"Pass"
40,6.5815,2,1,"0","0","0",2.129,"Pass"
23,7.6227,0,1,"0","0","0",2.893,"Pass"
24,9.7181,0,3,"0","0","0",4.399,"Pass"
21,6.688,0,1,"0","0","0",2.373,"Pass"
24,6.8154,1,1,"0","0","1",2.338,"Pass"
28,6.0873,1,1,"0","1","0",1.986,"Fail"
21,8.5734,0,1,"0","0","1",3.843,"Pass"
25,7.5678,0,1,"0","0","0",2.798,"Pass"
27,6.9355,1,0,"0","0","0",2.457,"Pass"
35,8.6589,2,2,"0","0","0",3.109,"Pass"
21,6.8966,0,2,"0","1","1",2.425,"Pass"
24,6.8721,0,2,"0","0","0",2.489,"Pass"
22,7.6151,0,0,"0","0","1",2.985,"Pass"
23,7.5492,0,0,"0","0","0",2.643,"Pass"
23,7.6928,0,2,"0","0","1",2.91,"Pass"
24,7.1177,0,0,"0","0","0",2.506,"Pass"
23,7.6329,0,1,"0","0","0",2.693,"Pass"
25,8.7705,0,2,"0","0","0",4.134,"Pass"
23,8.5603,0,2,"0","1","1",2.874,"Pass"
26,7.8868,1,2,"0","0","0",3.096,"Pass"
27,6.5297,1,0,"0","0","0",2.131,"Pass"
27,7.2108,0,0,"0","0","0",2.458,"Pass"
23,5.6722,0,0,"0","0","0",1.687,"Fail"
29,5.5193,1,1,"0","0","1",1.63,"Fail"
24,7.3301,1,0,"0","1","0",2.524,"Pass"
30,5.8635,1,1,"0","0","0",1.747,"Fail"
22,7.0986,0,0,"0","0","0",2.553,"Pass"
26,8.4815,0,2,"0","0","0",3.835,"Pass"
28,7.5779,0,1,"0","0","0",2.742,"Pass"
20,8.9106,0,1,"0","1","0",2.983,"Pass"
34,6.0176,2,0,"1","0","0",1.937,"Fail"
36,7.0291,4,1,"0","0","0",2.389,"Pass"
22,7.2274,0,1,"0","1","0",2.537,"Pass"
24,7.9091,0,2,"0","0","0",2.958,"Pass"
22,5.5506,0,0,"0","0","0",1.702,"Fail"
23,8.3661,0,0,"0","1","0",2.997,"Pass"
36,6.8681,3,0,"0","0","0",2.297,"Pass"
22,7.9856,0,0,"0","0","0",3.072,"Pass"
37,5.8516,2,2,"0","0","0",1.773,"Fail"
26,7.2784,0,0,"0","0","0",2.713,"Pass"
34,8.1984,2,0,"0","0","0",3.093,"Pass"
30,7.5446,1,0,"0","1","0",2.516,"Pass"
23,7.6806,0,1,"0","0","0",2.981,"Pass"
23,7.4233,0,0,"0","0","0",2.797,"Pass"
23,8.7232,0,1,"0","0","0",3.873,"Pass"
26,4.8543,0,0,"0","0","0",1.538,"Fail"
30,7.7888,1,0,"0","0","0",2.917,"Pass"
24,7.2522,0,0,"0","0","0",2.651,"Pass"
26,7.5711,1,3,"0","1","0",2.68,"Pass"
35,8.8259,4,2,"0","0","1",3.492,"Pass"
24,5.1558,0,0,"0","0","0",1.51,"Fail"
33,8.0502,1,2,"0","0","0",3.223,"Pass"
26,7.1408,0,1,"0","0","0",2.618,"Pass"
29,8.5538,1,4,"0","0","0",3.652,"Pass"
20,7.4459,0,0,"0","0","0",2.817,"Pass"
27,8.9549,0,2,"0","0","0",4.409,"Pass"
21,8.218,0,0,"0","0","0",3.232,"Pass"
31,7.3548,1,2,"0","0","0",2.586,"Pass"
32,6.8796,2,2,"0","0","0",2.331,"Pass"
24,7.5086,1,0,"0","1","0",2.512,"Pass"
26,6.0374,1,1,"0","0","0",1.918,"Fail"
34,9.2487,1,2,"0","0","0",4.143,"Pass"
33,6.984,3,0,"0","0","0",2.426,"Pass"
23,7.3966,0,1,"0","0","0",2.805,"Pass"
25,6.982,0,0,"0","1","1",2.277,"Pass"
38,6.9068,2,1,"0","0","0",2.354,"Pass"
24,7.071,0,1,"1","0","1",2.512,"Pass"
28,8.6843,1,2,"0","0","0",4.017,"Pass"
22,8.5663,0,1,"0","0","0",3.907,"Pass"
22,9.3928,0,0,"1","0","0",2.866,"Pass"
25,6.6052,0,1,"0","0","0",2.177,"Pass"
38,7.8304,1,2,"0","0","0",2.85,"Pass"
23,7.0126,0,0,"1","0","0",2.518,"Pass"
21,7.1631,0,1,"0","0","0",2.431,"Pass"
21,8.0179,0,2,"0","1","0",2.965,"Pass"
31,8.53,1,2,"0","0","0",3.87,"Pass"
25,7.0511,0,1,"0","0","0",2.538,"Pass"
38,7.0822,5,0,"0","0","0",2.536,"Pass"
20,4.6103,0,0,"0","1","0",1.445,"Fail"
28,6.4152,0,2,"0","0","0",2.072,"Pass"
24,8.2589,0,1,"0","0","0",3.488,"Pass"
21,7.9349,0,0,"1","0","0",2.751,"Pass"
36,8.9389,2,1,"0","0","0",3.071,"Pass"
27,9.0153,0,1,"0","0","0",4.577,"Pass"
28,7.4722,0,2,"0","0","0",2.606,"Pass"
29,8.9917,1,3,"0","1","0",3.129,"Pass"
21,6.5804,0,2,"0","0","0",2.192,"Pass"
21,7.0877,0,1,"0","0","1",2.56,"Pass"
23,7.3086,0,0,"0","0","0",2.628,"Pass"
23,7.8079,0,1,"0","0","0",3.101,"Pass"
19,6.5972,0,0,"0","0","0",2.107,"Pass"
28,7.1462,1,1,"0","0","0",2.521,"Pass"
20,7.1385,0,1,"0","0","0",2.608,"Pass"
28,5.9419,0,2,"0","0","0",1.768,"Fail"
31,6.8621,1,1,"0","0","0",2.442,"Pass"
27,7.3925,0,0,"0","0","0",2.637,"Pass"
25,5.9786,0,0,"0","0","0",1.845,"Fail"
29,7.0171,1,1,"0","0","0",2.454,"Pass"
24,8.3371,0,3,"0","0","0",3.475,"Pass"
20,6.857,0,0,"0","0","0",2.411,"Pass"
28,4.0175,0,0,"0","0","0",1.417,"Fail"
24,9.7067,0,3,"0","0","1",4.402,"Pass"
22,7.9004,0,0,"0","0","0",3.149,"Pass"
28,7.2717,0,1,"0","0","0",2.516,"Pass"
36,7.2263,4,1,"0","0","0",2.541,"Pass"
34,6.8966,3,0,"0","1","0",2.301,"Pass"
31,6.0575,2,0,"0","1","0",2.124,"Pass"
26,4.7261,1,0,"0","0","0",1.357,"Fail"
20,5.6694,0,0,"0","0","0",1.784,"Fail"
20,4.99,0,0,"1","0","0",1.529,"Fail"
28,5.294,0,0,"0","0","0",1.605,"Fail"
21,7.2401,0,0,"0","1","0",2.631,"Pass"
30,7.0037,1,2,"0","1","0",2.461,"Pass"
24,8.5276,0,2,"0","1","0",2.981,"Pass"
21,8.0049,0,0,"0","1","0",2.84,"Pass"
20,5.7928,0,0,"0","0","0",1.849,"Fail"
20,4.7958,0,0,"0","0","0",1.54,"Fail"
24,7.0422,0,0,"0","0","0",2.498,"Pass"
26,8.895,0,2,"0","1","0",2.919,"Pass"
23,8.1469,0,2,"0","0","0",3.253,"Pass"
30,7.7376,1,1,"0","0","1",2.844,"Pass"
19,5.9706,0,0,"0","0","0",1.968,"Fail"
23,7.305,0,2,"0","0","0",2.712,"Pass"
26,7.5296,1,1,"0","0","0",2.642,"Pass"
26,7.6283,0,1,"0","0","0",2.855,"Pass"
23,6.1168,0,1,"0","0","0",1.917,"Fail"
21,7.0774,0,1,"0","0","1",2.486,"Pass"
23,5.4879,0,0,"0","0","1",1.747,"Fail"
21,8.0337,0,0,"0","0","0",3.138,"Pass"
27,6.4472,1,1,"0","0","0",2.135,"Pass"
19,6.3428,0,0,"0","1","0",2.091,"Pass"
20,5.9983,0,0,"0","0","1",1.964,"Fail"
29,7.0075,0,1,"0","0","0",2.459,"Pass"
34,8.331,2,1,"0","0","0",2.979,"Pass"
21,4.755,0,0,"0","0","0",1.473,"Fail"
36,7.1477,4,0,"0","0","0",2.461,"Pass"
27,7.5981,0,3,"0","0","0",2.704,"Pass"
26,6.203,1,0,"0","0","0",1.915,"Fail"
26,6.7991,0,2,"0","1","0",2.244,"Pass"
21,7.2976,0,0,"0","1","0",2.508,"Pass"
24,8.2317,0,1,"0","0","0",3.542,"Pass"
30,5.8593,1,0,"0","0","0",1.832,"Fail"
29,8.7814,2,2,"0","0","0",3.054,"Pass"
26,8.2533,0,2,"0","0","0",3.363,"Pass"
21,9.0157,0,1,"0","0","0",4.264,"Pass"
24,7.9955,0,2,"0","0","0",3.105,"Pass"
34,7.754,1,1,"0","1","0",2.835,"Pass"
21,7.8866,0,1,"0","0","0",3.108,"Pass"
25,8.0855,0,1,"0","0","0",3.272,"Pass"
25,6.2955,0,0,"0","0","0",2.057,"Pass"
33,9.4012,1,3,"1","0","0",2.843,"Pass"
20,8.4093,0,0,"0","0","1",3.616,"Pass"
22,7.2706,0,0,"0","0","0",2.571,"Pass"
22,7.3912,0,0,"1","1","0",2.63,"Pass"
29,8.7408,1,1,"0","0","0",3.988,"Pass"
36,8.6791,1,4,"0","0","0",2.94,"Pass"
26,7.1632,0,0,"0","0","0",2.442,"Pass"
24,7.1676,0,2,"0","1","0",2.57,"Pass"
28,6.5957,0,3,"0","0","0",2.196,"Pass"
25,5.0648,0,1,"0","0","0",1.604,"Fail"
22,7.4747,0,1,"0","0","0",2.695,"Pass"
30,7.8567,1,4,"0","0","0",3.182,"Pass"
30,7.307,2,2,"0","0","1",2.717,"Pass"
28,7.6664,1,0,"0","0","0",2.895,"Pass"
22,5.5069,0,0,"0","0","0",1.707,"Fail"
23,8.6144,0,0,"0","1","0",2.958,"Pass"
27,7.1262,0,1,"0","0","0",2.471,"Pass"
20,6.9995,0,1,"0","1","0",2.441,"Pass"
22,7.3537,0,1,"0","0","0",2.641,"Pass"
20,6.2308,0,0,"1","0","0",1.984,"Fail"
25,6.5851,0,2,"0","0","0",2.189,"Pass"
23,8.5376,0,1,"0","0","0",3.653,"Pass"
30,6.946,2,2,"0","0","0",2.309,"Pass"
24,6.4398,0,0,"0","0","1",2.136,"Pass"
28,5.9967,0,0,"0","0","0",1.839,"Fail"
19,6.7177,0,0,"0","0","0",2.158,"Pass"
27,4.933,1,0,"0","1","0",1.577,"Fail"
22,6.2615,0,0,"0","0","0",2.077,"Pass"
20,7.1828,0,1,"0","1","0",3.445,"Pass"
22,6.9024,0,0,"0","1","0",2.469,"Pass"
19,4.8814,0,0,"0","0","0",1.516,"Fail"
28,6.1094,1,1,"0","1","0",2.041,"Pass"
19,6.4287,0,0,"0","0","0",2.02,"Pass"
23,6.9904,0,0,"0","0","0",2.452,"Pass"
27,6.9415,0,1,"0","0","0",2.42,"Pass"
26,7.1079,0,4,"1","0","0",2.492,"Pass"
19,6.1875,0,0,"0","0","0",1.975,"Fail"
31,6.4899,2,2,"0","0","1",2.059,"Pass"
38,6.8367,4,2,"0","0","0",2.272,"Pass"
27,6.2675,0,0,"0","0","0",2.099,"Pass"
22,6.46,0,2,"0","0","0",2.112,"Pass"
19,7.0905,0,0,"0","0","0",2.569,"Pass"
25,9.7625,0,3,"0","1","0",4.479,"Pass"
25,6.875,0,0,"0","0","1",2.331,"Pass"
30,8.9651,1,1,"0","0","0",3.874,"Pass"
39,8.2245,3,0,"0","0","0",3.007,"Pass"
27,5.1254,1,0,"0","0","0",1.534,"Fail"
25,7.9896,0,1,"0","0","1",3.122,"Pass"
26,7.8628,0,0,"0","0","0",3.01,"Pass"
22,7.249,0,0,"0","0","0",2.646,"Pass"
32,7.6023,2,1,"0","0","0",2.645,"Pass"
32,7.3747,2,1,"0","0","0",2.695,"Pass"
20,4.7381,0,0,"0","0","0",1.354,"Fail"
29,7.4093,1,0,"0","0","0",2.573,"Pass"
33,8.2783,3,4,"0","0","0",2.969,"Pass"
30,5.8999,1,2,"0","0","0",1.8,"Fail"
22,6.6465,0,0,"0","1","0",2.253,"Pass"
33,5.1459,1,0,"0","0","0",1.51,"Fail"
22,9.429,0,1,"0","0","0",4.56,"Pass"
23,5.9622,0,0,"0","1","0",1.863,"Fail"
19,6.558,0,0,"0","0","0",2.273,"Pass"
29,6.9137,1,0,"0","0","0",2.483,"Pass"
26,8.1391,0,1,"0","0","0",3.182,"Pass"
29,8.8236,2,2,"0","0","0",3.037,"Pass"
31,8.4466,1,5,"0","0","0",3.528,"Pass"
21,5.7526,0,0,"0","0","0",1.76,"Fail"
30,6.6211,1,1,"0","1","0",2.302,"Pass"
24,8.2179,0,0,"0","1","0",2.762,"Pass"
25,7.508,0,1,"0","0","0",2.729,"Pass"
25,7.1286,1,1,"0","0","0",2.573,"Pass"
23,4.8543,0,0,"0","0","0",1.502,"Fail"
24,5.7398,0,0,"0","0","0",1.687,"Fail"
20,7.6156,0,0,"0","0","0",2.94,"Pass"
27,7.9895,1,1,"0","1","0",2.637,"Pass"
24,8.4127,0,1,"0","0","0",3.739,"Pass"
23,7.5379,0,0,"0","0","0",2.821,"Pass"
31,6.8163,2,2,"0","0","0",2.271,"Pass"
22,8.5645,0,1,"0","0","0",3.93,"Pass"
25,6.8947,0,0,"0","0","0",2.387,"Pass"
22,6.3648,0,0,"0","0","1",2.084,"Pass"
23,4.8474,0,0,"0","1","0",1.494,"Fail"
25,6.6554,0,0,"0","0","0",2.249,"Pass"
21,8.2814,0,2,"0","0","0",3.534,"Pass"
24,6.713,0,0,"0","0","0",2.165,"Pass"
28,8.0048,0,2,"0","0","0",3.008,"Pass"
27,7.9964,1,4,"0","0","0",3.178,"Pass"
20,9.5033,1,1,"0","0","0",4.802,"Pass"
