"Physical Activity","Fruit Consumption"
"Low","Medium"
"Low","Medium"
"Low","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Moderate","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Vigorous","Medium"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Low","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Moderate","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
"Vigorous","High"
