"Package";"Version";"Author"
"Matrix";"1.2-15";"Douglas Bates [aut];
  Martin Maechler [aut, cre] (<https://orcid.org/0000-0002-8685-9910>);
  Timothy A. Davis [ctb] (SuiteSparse and 'cs' C libraries; notably
	CHOLMOD; AMD; collaborators listed in dir(pattern =
	'^[A-Z]+[.]txt$'; full.names=TRUE; system.file('doc';
	'SuiteSparse'; package='Matrix')));
  Jens Oehlschlägel [ctb] (initial nearPD());
  Jason Riedy [ctb] (condest() and onenormest() for octave; Copyright:
	Regents of the University of California);
  R Core Team [ctb] (base R matrix implementation)"
"MatrixModels";"0.4-1";"Douglas Bates <bates@stat.wisc.edu> and Martin Maechler <maechler@stat.math.ethz.ch>"
"NetworkComparisonTest";"2.0.1";"Claudia D. van Borkulo; with contributions from Sacha Epskamp and Alex Millner"
"NetworkToolbox";"1.2.3";"Alexander Christensen"
"OpenMx";"2.12.2";"Steven M. Boker [aut];
  Michael C. Neale [aut];
  Hermine H. Maes [aut];
  Michael J. Wilde [ctb];
  Michael Spiegel [aut];
  Timothy R. Brick [aut];
  Ryne Estabrook [aut];
  Timothy C. Bates [aut];
  Paras Mehta [ctb];
  Timo von Oertzen [ctb];
  Ross J. Gore [aut];
  Michael D. Hunter [aut];
  Daniel C. Hackett [ctb];
  Julian Karch [ctb];
  Andreas M. Brandmaier [ctb];
  Joshua N. Pritikin [aut, cre];
  Mahsa Zahery [aut];
  Robert M. Kirkpatrick [aut];
  Yang Wang [ctb];
  Charles Driver [ctb];
  Massachusetts Institute of Technology [cph];
  S. G. Johnson [cph];
  Association for Computing Machinery [cph];
  Dieter Kraft [cph];
  Stefan Wilhelm [cph];
  Sarah Medland [cph];
  Carl F. Falk [cph];
  Matt Keller [cph];
  Manjunath B G [cph];
  The Regents of the University of California [cph];
  Lester Ingber [cph];
  Wong Shao Voon [cph]"
"R.matlab";"3.6.2";"Henrik Bengtsson [aut, cre, cph];
  Andy Jacobson [ctb] (Internal MAT v4 reader);
  Jason Riedy [ctb] (Support for reading compressed files; sparse
    matrices and UTF-encoded strings.)"
"R.methodsS3";"1.7.1";"Henrik Bengtsson [aut, cre, cph]"
"R.oo";"1.22.0";"Henrik Bengtsson [aut, cre, cph]"
"R.utils";"2.8.0";"Henrik Bengtsson [aut, cre, cph]"
"R6";"2.4.0";"Winston Chang [aut, cre]"
"RColorBrewer";"1.1-2";"Erich Neuwirth [aut, cre]"
"RUnit";"0.4.32";"Matthias Burger <burgerm@users.sourceforge.net>; Klaus
		Juenemann <k.junemann@gmx.net>; Thomas Koenig
        <thomas.koenig@epigenomics.com>"
"Rcpp";"1.0.0";"Dirk Eddelbuettel; Romain Francois; JJ Allaire; Kevin Ushey; Qiang Kou;
 Nathan Russell; Douglas Bates and John Chambers"
"RcppArmadillo";"0.9.200.7.0";"Dirk Eddelbuettel; Romain Francois; Doug Bates and Binxiang Ni"
"Rsolnp";"1.16";"Alexios Ghalanos and Stefan Theussl"
"SparseM";"1.77";"Roger Koenker <rkoenker@uiuc.edu> and Pin Ng <Pin.Ng@NAU.EDU>"
"SuppDists";"1.1-9.4";"Bob Wheeler <bwheelerg@gmail.com>"
"TH.data";"1.0-10";"Torsten Hothorn [aut, cre]"
"TTR";"0.23-4";"Joshua Ulrich"
"VGAM";"1.1-1";"Thomas W. Yee <t.yee@auckland.ac.nz>"
"XML";"3.98-1.19";"Duncan Temple Lang and the CRAN Team (including Tomas Kalibera)"
"abind";"1.4-5";"Tony Plate <tplate@acm.org> and Richard Heiberger"
"abtest";"0.1.3";"Quentin F. Gronau [aut, cre];
  Akash Raj [ctb];
  Eric-Jan Wagenmakers [ths]"
"acepack";"1.4.1";"Phil Spector; Jerome Friedman; Robert Tibshirani; Thomas Lumley; Shawn Garbett; Jonathan Baron"
"afex";"0.23-0";"Henrik Singmann [aut, cre] (<https://orcid.org/0000-0002-4842-3657>);
  Ben Bolker [aut];
  Jake Westfall [aut];
  Frederik Aust [aut] (<https://orcid.org/0000-0003-4900-788X>);
  Søren Højsgaard [ctb];
  John Fox [ctb];
  Michael A. Lawrence [ctb];
  Ulf Mertens [ctb];
  Jonathon Love [ctb];
  Russell Lenth [ctb];
  Rune Haubo Bojesen Christensen [ctb]"
"arm";"1.10-1";"Andrew Gelman [aut];
  Yu-Sung Su [aut, cre];
  Masanao Yajima [ctb];
  Jennifer Hill [ctb];
  Maria Grazia Pittau [ctb];
  Jouni Kerman [ctb];
  Tian Zheng [ctb];
  Vincent Dorie [ctb]"
"askpass";"1.1";"Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>)"
"assertthat";"0.2.0";"Hadley Wickham [aut, cre]"
"backports";"1.1.3";"Michel Lang [cre, aut] (<https://orcid.org/0000-0001-9754-0393>);
  R Core Team [aut]"
"base";"3.5.2";"R Core Team and contributors worldwide"
"base64enc";"0.1-3";"Simon Urbanek <Simon.Urbanek@r-project.org>"
"boot";"1.3-20";"Angelo Canty [aut];
  Brian Ripley [aut, trl; cre] (author of parallel support)"
"bootnet";"1.2";"Sacha Epskamp [aut, cre];
  Eiko I. Fried [ctb]"
"broom";"0.5.1";"David Robinson [aut];
  Alex Hayes [aut, cre] (<https://orcid.org/0000-0002-4985-5160>);
  Matthieu Gomez [ctb];
  Boris Demeshev [ctb];
  Dieter Menne [ctb];
  Benjamin Nutter [ctb];
  Luke Johnston [ctb];
  Ben Bolker [ctb];
  Francois Briatte [ctb];
  Jeffrey Arnold [ctb];
  Jonah Gabry [ctb];
  Luciano Selzer [ctb];
  Gavin Simpson [ctb];
  Jens Preussner [ctb];
  Jay Hesselberth [ctb];
  Hadley Wickham [ctb];
  Matthew Lincoln [ctb];
  Alessandro Gasparini [ctb];
  Lukasz Komsta [ctb];
  Frederick Novometsky [ctb];
  Wilson Freitas [ctb];
  Michelle Evans [ctb];
  Jason Cory Brunson [ctb];
  Simon Jackson [ctb];
  Ben Whalley [ctb];
  Michael Kuehn [ctb];
  Jorge Cimentada [ctb];
  Erle Holgersen [ctb];
  Karl Dunkle Werner [ctb]"
"ca";"0.71";"Michael Greenacre [aut];
  Oleg Nenadic [aut, cre];
  Michael Friendly [ctb]"
"callr";"3.1.1";"Gábor Csárdi [aut, cre, cph] (<https://orcid.org/0000-0001-7098-9676>);
  Winston Chang [aut];
  RStudio [cph, fnd];
  Mango Solutions [cph, fnd]"
"candisc";"0.8-0";"Michael Friendly [aut, cre]; John Fox [aut]"
"car";"3.0-2";"John Fox [aut, cre];
  Sanford Weisberg [aut];
  Brad Price [aut];
  Daniel Adler [ctb];
  Douglas Bates [ctb];
  Gabriel Baud-Bovy [ctb];
  Ben Bolker [ctb];
  Steve Ellison [ctb];
  David Firth [ctb];
  Michael Friendly [ctb];
  Gregor Gorjanc [ctb];
  Spencer Graves [ctb];
  Richard Heiberger [ctb];
  Rafael Laboissiere [ctb];
  Martin Maechler [ctb];
  Georges Monette [ctb];
  Duncan Murdoch [ctb];
  Henric Nilsson [ctb];
  Derek Ogle [ctb];
  Brian Ripley [ctb];
  William Venables [ctb];
  Steve Walker [ctb];
  David Winsemius [ctb];
  Achim Zeileis [ctb];
  R-Core [ctb]"
"carData";"3.0-2";"John Fox [aut, cre];
  Sanford Weisberg [aut];
  Brad Price [aut]"
"cellranger";"1.1.0";"Jennifer Bryan [cre, aut];
  Hadley Wickham [ctb]"
"checkmate";"1.9.1";"Michel Lang [cre, aut] (<https://orcid.org/0000-0001-9754-0393>);
  Bernd Bischl [ctb]"
"class";"7.3-14";"Brian Ripley [aut, cre, cph];
  William Venables [cph]"
"cli";"1.0.1";"Gábor Csárdi [aut, cre];
  Hadley Wickham [ctb];
  Kirill Müller [ctb]"
"clipr";"0.5.0";"Matthew Lincoln [aut, cre] (<https://orcid.org/0000-0002-4387-3384>);
  Louis Maddox [ctb];
  Steve Simpson [ctb];
  Jennifer Bryan [ctb]"
"clisymbols";"1.2.0";"Gábor Csárdi [aut, cre];
  Sindre Sorhus [aut]"
"cluster";"2.0.7-1";"Martin Maechler [aut, cre];
  Peter Rousseeuw [aut] (Fortran original);
  Anja Struyf [aut] (S original);
  Mia Hubert [aut] (S original);
  Kurt Hornik [trl; ctb] (port to R; maintenance(1999-2000));
  Matthias Studer [ctb];
  Pierre Roudier [ctb];
  Juan Gonzalez [ctb];
  Kamil Kozlowski [ctb]"
"cmprsk";"2.2-7";"Bob Gray <gray@jimmy.harvard.edu>"
"cocor";"1.1-3";"Birk Diedenhofen [aut, cre]"
"coda";"0.19-2";"Martyn Plummer [aut, cre, trl];
  Nicky Best [aut];
  Kate Cowles [aut];
  Karen Vines [aut];
  Deepayan Sarkar [aut];
  Douglas Bates [aut];
  Russell Almond [aut];
  Arni Magnusson [aut]"
"codetools";"0.2-16";"Luke Tierney <luke-tierney@uiowa.edu>"
"colorspace";"1.4-0";"Ross Ihaka [aut];
  Paul Murrell [aut] (<https://orcid.org/0000-0002-3224-8858>);
  Kurt Hornik [aut] (<https://orcid.org/0000-0003-4198-9911>);
  Jason C. Fisher [aut] (<https://orcid.org/0000-0001-9032-8912>);
  Reto Stauffer [aut] (<https://orcid.org/0000-0002-3798-5507>);
  Claus O. Wilke [aut] (<https://orcid.org/0000-0002-7470-9261>);
  Claire D. McWhite [aut] (<https://orcid.org/0000-0001-7346-3047>);
  Achim Zeileis [aut, cre] (<https://orcid.org/0000-0003-0918-3766>)"
"colourpicker";"1.0";"Dean Attali [aut, cre];
  David Griswold [ctb]"
"compiler";"3.5.2";"Luke Tierney <luke-tierney@uiowa.edu>"
"contfrac";"1.1-12";"Robin K. S. Hankin"
"conting";"1.6.1";"Antony M. Overstall"
"corpcor";"1.6.9";"Juliane Schafer; Rainer Opgen-Rhein; Verena Zuber; Miika Ahdesmaki;
 A. Pedro Duarte Silva; and Korbinian Strimmer."
"corrplot";"0.84";"Taiyun Wei [cre, aut];
  Viliam Simko [aut];
  Michael Levy [ctb];
  Yihui Xie [ctb];
  Yan Jin [ctb];
  Jeff Zemla [ctb]"
"cowplot";"0.9.4";"Claus O. Wilke [aut, cre];
  RStudio [cph] (Copyright for ggplot2 code copied to cowplot)"
"crayon";"1.3.4";"Gábor Csárdi [aut, cre];
  Brodie Gaslam [ctb]"
"curl";"3.3";"Jeroen Ooms [aut, cre] (<https://orcid.org/0000-0002-4035-0289>);
  Hadley Wickham [ctb];
  RStudio [cph]"
"d3Network";"0.5.2.1";"Christopher Gandrud"
"data.table";"1.12.0";"Matt Dowle [aut, cre];
  Arun Srinivasan [aut];
  Jan Gorecki [ctb];
  Michael Chirico [ctb];
  Pasha Stetsenko [ctb];
  Tom Short [ctb];
  Steve Lianoglou [ctb];
  Eduard Antonyan [ctb];
  Markus Bonsch [ctb];
  Hugh Parsonage [ctb];
  Scott Ritchie [ctb]"
"datasets";"3.5.2";"R Core Team and contributors worldwide"
"deSolve";"1.21";"Karline Soetaert [aut];
  Thomas Petzoldt [aut, cre];
  R. Woodrow Setzer [aut];
  odepack authors [cph]"
"desc";"1.2.0";"Gábor Csárdi [aut, cre];
  Kirill Müller [aut];
  Jim Hester [aut]"
"devtools";"2.0.1";"Hadley Wickham [aut];
  Jim Hester [aut, cre];
  Winston Chang [aut];
  RStudio [cph];
  R Core team [ctb] (Some namespace and vignette code extracted from base
    R)"
"digest";"0.6.18";"Dirk Eddelbuettel <edd@debian.org> with contributions
 by Antoine Lucas; Jarek Tuszynski; Henrik Bengtsson; Simon Urbanek;
 Mario Frasca; Bryan Lewis; Murray Stokely; Hannes Muehleisen;
 Duncan Murdoch; Jim Hester; Wush Wu; Qiang Kou; Thierry Onkelinx;
 Michel Lang; Viliam Simko; Kurt Hornik and Radford Neal."
"doParallel";"1.0.14";"Rich Calaway [cre];
  Microsoft Corporation [aut, cph];
  Steve Weston [aut];
  Dan Tenenbaum [ctb]"
"doSNOW";"1.0.16";"Rich Calaway [cre];
  Microsoft Corporation [aut, cph];
  Stephen Weston [aut]"
"dplyr";"0.8.0.1";"Hadley Wickham [aut, cre] (<https://orcid.org/0000-0003-4757-117X>);
  Romain François [aut] (<https://orcid.org/0000-0002-2444-4226>);
  Lionel Henry [aut];
  Kirill Müller [aut] (<https://orcid.org/0000-0002-1416-3412>);
  RStudio [cph, fnd]"
"e1071";"1.7-0.1";"David Meyer [aut, cre];
  Evgenia Dimitriadou [aut, cph];
  Kurt Hornik [aut];
  Andreas Weingessel [aut];
  Friedrich Leisch [aut];
  Chih-Chung Chang [ctb, cph] (libsvm C++-code);
  Chih-Chen Lin [ctb, cph] (libsvm C++-code)"
"eigenmodel";"1.10";"Peter Hoff"
"ellipse";"0.4.1";"Duncan Murdoch <murdoch@stats.uwo.ca> and E. D. Chow
    (porting to R by Jesus M. Frias Celayeta <iosu@bureau.ucc.ie>)"
"ellipsis";"0.1.0";"Hadley Wickham [aut, cre];
  RStudio [cph]"
"elliptic";"1.3-9";"Robin K. S. Hankin"
"emmeans";"1.3.2";"Russell Lenth [aut, cre, cph];
  Henrik Singmann [ctb];
  Jonathon Love [ctb];
  Paul Buerkner [ctb];
  Maxime Herve [ctb]"
"estimability";"1.3";"Russell Lenth [aut, cre, cph]"
"etm";"1.0.4";"Arthur Allignol"
"evaluate";"0.13";"Hadley Wickham [aut];
  Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>);
  Michael Lawrence [ctb];
  Thomas Kluyver [ctb];
  Jeroen Ooms [ctb];
  Barret Schloerke [ctb];
  Adam Ryczkowski [ctb];
  Hiroaki Yutani [ctb];
  Michel Lang [ctb]"
"fansi";"0.4.0";"Brodie Gaslam [aut, cre];
  Elliott Sales De Andrade [ctb];
  R Core Team [cph] (UTF8 byte length calcs from src/util.c)"
"fdrtool";"1.2.15";"Bernd Klaus and Korbinian Strimmer."
"forcats";"0.4.0";"Hadley Wickham [aut, cre];
  RStudio [cph, fnd]"
"foreach";"1.4.4";"Rich Calaway [cre];
  Microsoft [aut, cph];
  Steve Weston [aut]"
"foreign";"0.8-71";"R Core Team [aut, cph, cre];
  Roger Bivand [ctb, cph];
  Vincent J. Carey [ctb, cph];
  Saikat DebRoy [ctb, cph];
  Stephen Eglen [ctb, cph];
  Rajarshi Guha [ctb, cph];
  Swetlana Herbrandt [ctb];
  Nicholas Lewin-Koh [ctb, cph];
  Mark Myatt [ctb, cph];
  Ben Pfaff [ctb];
  Brian Quistorff [ctb];
  Frank Warmerdam [ctb, cph];
  Stephen Weigand [ctb, cph];
  Free Software Foundation; Inc. [cph]"
"fs";"1.2.6";"Jim Hester [aut, cre];
  Hadley Wickham [aut];
  libuv project contributors [cph] (libuv library);
  Joyent; Inc. and other Node contributors [cph] (libuv library);
  RStudio [cph, fnd]"
"gdata";"2.18.0";"Gregory R. Warnes; Ben Bolker; Gregor Gorjanc; Gabor
		Grothendieck; Ales Korosec; Thomas Lumley; Don MacQueen; Arni
		Magnusson; Jim Rogers; and others"
"generics";"0.0.2";"Max Kuhn [aut, cre];
  Hadley Wickham [aut];
  Davis Vaughan [aut];
  RStudio [cph]"
"ggedit";"0.3.0";"Jonathan Sidi [aut, cre]"
"ggm";"2.3";"Giovanni M. Marchetti; Mathias Drton; Kayvan Sadeghi"
"ggplot2";"3.1.0";"Hadley Wickham [aut, cre];
  Winston Chang [aut];
  Lionel Henry [aut];
  Thomas Lin Pedersen [aut];
  Kohske Takahashi [aut];
  Claus Wilke [aut];
  Kara Woo [aut];
  RStudio [cph]"
"ggrepel";"0.8.0";"Kamil Slowikowski [aut, cre] (<https://orcid.org/0000-0002-2843-6370>);
  Alicia Schep [ctb] (<https://orcid.org/0000-0002-3915-0618>);
  Sean Hughes [ctb];
  Saulius Lukauskas [ctb];
  Jean-Olivier Irisson [ctb] (<https://orcid.org/0000-0003-4920-3880>);
  Zhian N Kamvar [ctb] (<https://orcid.org/0000-0003-1458-7108>);
  Thompson Ryan [ctb] (<https://orcid.org/0000-0002-0450-8181>);
  Dervieux Christophe [ctb] (<https://orcid.org/0000-0003-4474-2498>);
  Yutani Hiroaki [ctb];
  Pierre Gramme [ctb]"
"gh";"1.0.1";"Gábor Csárdi [cre, ctb];
  Jennifer Bryan [aut];
  Hadley Wickham [aut]"
"git2r";"0.24.0";"See AUTHORS file."
"glasso";"1.10";"Jerome Friedman; Trevor Hastie and Rob Tibshirani"
"glmnet";"2.0-16";"Jerome Friedman [aut, cre];
	Trevor Hastie [aut, cre];
	Rob Tibshirani [aut, cre];
	Noah Simon [aut, ctb];
	Balasubramanian Narasimhan [ctb];
	Junyang Qian [ctb]"
"glue";"1.3.0";"Jim Hester [aut, cre]"
"gnm";"1.1-0";"Heather Turner [aut, cre] (<https://orcid.org/0000-0002-1256-3375>);
  David Firth [aut] (<https://orcid.org/0000-0003-0302-2312>);
  Brian Ripley [ctb];
  Bill Venables [ctb];
  Douglas M. Bates [ctb];
  Martin Maechler [ctb] (<https://orcid.org/0000-0002-8685-9910>)"
"grDevices";"3.5.2";"R Core Team and contributors worldwide"
"graphicalVAR";"0.2.2";"Sacha Epskamp"
"graphics";"3.5.2";"R Core Team and contributors worldwide"
"grid";"3.5.2";"Paul Murrell <paul@stat.auckland.ac.nz>"
"gridExtra";"2.3";"Baptiste Auguie [aut, cre];
  Anton Antonov [ctb]"
"gtable";"0.2.0";"Hadley Wickham [aut, cre]"
"gtools";"3.8.1";"Gregory R. Warnes; Ben Bolker; and Thomas Lumley"
"haven";"2.1.0";"Hadley Wickham [aut, cre];
  Evan Miller [aut, cph] (Author of included ReadStat code);
  RStudio [cph, fnd]"
"heplots";"1.3-5";"John Fox [aut];
  Michael Friendly [aut, cre];
  Georges Monette [ctb]"
"highr";"0.7";"Christopher Gandrud [ctb];
  Qiang Li [ctb];
  Yixuan Qiu [aut];
  Yihui Xie [aut, cre]"
"hmeasure";"1.0-2";"Christoforos Anagnostopoulos
    <christoforos.anagnostopoulos06@imperial.ac.uk> and David J.
    Hand <d.j.hand@imperial.ac.uk>"
"hms";"0.4.2";"Kirill Müller [aut, cre];
  The R Consortium [fnd]"
"htmlTable";"1.13.1";"Max Gordon [aut, cre];
  Stephen Gragg [aut];
  Peter Konings [aut]"
"htmltools";"0.3.6";"RStudio; Inc."
"htmlwidgets";"1.3";"Ramnath Vaidyanathan [aut, cph];
  Yihui Xie [aut];
  JJ Allaire [aut];
  Joe Cheng [aut, cre];
  Kenton Russell [aut, cph];
  RStudio [cph]"
"httpuv";"1.4.5.1";"Joe Cheng; Hector Corrada Bravo [ctb]; Jeroen Ooms [ctb];
    Winston Chang [ctb]"
"httr";"1.4.0";"Hadley Wickham [aut, cre];
  RStudio [cph]"
"huge";"1.3.0";"Haoming Jiang; Xinyu Fei; Yukun Ma; Xingguo Li; Han Liu; Kathryn Roeder; John Lafferty; Larry
		Wasserman; Tuo Zhao"
"hypergeo";"1.2-13";"Robin K. S. Hankin"
"igraph";"1.2.4";"See AUTHORS file."
"ini";"0.3.1";"David Valentim Dias"
"iterators";"1.0.10";"Rich Calaway [cre];
  Revolution Analytics [aut, cph];
  Steve Weston [aut]"
"jomo";"2.6-7";"Matteo Quartagno; James Carpenter"
"jpeg";"0.1-8";"Simon Urbanek <Simon.Urbanek@r-project.org>"
"jsonlite";"1.6";"Jeroen Ooms; Duncan Temple Lang; Lloyd Hilaiel"
"knitr";"1.21";"Yihui Xie [aut, cre] (<https://orcid.org/0000-0003-0645-5666>);
  Adam Vogt [ctb];
  Alastair Andrew [ctb];
  Alex Zvoleff [ctb];
  Andre Simon [ctb] (the CSS files under inst/themes/ were derived from
	the Highlight package http://www.andre-simon.de);
  Aron Atkins [ctb];
  Aaron Wolen [ctb];
  Ashley Manton [ctb];
  Ben Baumer [ctb];
  Brian Diggs [ctb];
  Brian Zhang [ctb];
  Cassio Pereira [ctb];
  Christophe Dervieux [ctb];
  David Hugh-Jones [ctb];
  David Robinson [ctb];
  Donald Arseneau [ctb, cph] (the framed package at inst/misc/framed.sty);
  Doug Hemken [ctb];
  Duncan Murdoch [ctb];
  Elio Campitelli [ctb];
  Fabian Hirschmann [ctb];
  Fitch Simeon [ctb];
  Forest Fang [ctb];
  Frank E Harrell Jr [ctb] (the Sweavel package at inst/misc/Sweavel.sty);
  Garrick Aden-Buie [ctb];
  Gregoire Detrez [ctb];
  Hadley Wickham [ctb];
  Hao Zhu [ctb];
  Heewon Jeon [ctb];
  Henrik Bengtsson [ctb];
  Hiroaki Yutani [ctb];
  Ian Lyttle [ctb];
  Hodges Daniel [ctb];
  Jake Burkhead [ctb];
  James Manton [ctb];
  Jared Lander [ctb];
  Jason Punyon [ctb];
  Javier Luraschi [ctb];
  Jeff Arnold [ctb];
  Jenny Bryan [ctb];
  Jeremy Ashkenas [ctb, cph] (the CSS file at
	inst/misc/docco-classic.css);
  Jeremy Stephens [ctb];
  Jim Hester [ctb];
  Joe Cheng [ctb];
  Johannes Ranke [ctb];
  John Honaker [ctb];
  John Muschelli [ctb];
  Jonathan Keane [ctb];
  JJ Allaire [ctb];
  Johan Toloe [ctb];
  Jonathan Sidi [ctb];
  Joseph Larmarange [ctb];
  Julien Barnier [ctb];
  Kaiyin Zhong [ctb];
  Kamil Slowikowski [ctb];
  Karl Forner [ctb];
  Kevin K. Smith [ctb];
  Kirill Mueller [ctb];
  Kohske Takahashi [ctb];
  Lorenz Walthert [ctb];
  Lucas Gallindo [ctb];
  Martin Modrák [ctb];
  Michael Chirico [ctb];
  Michael Friendly [ctb];
  Michal Bojanowski [ctb];
  Michel Kuhlmann [ctb];
  Nacho Caballero [ctb];
  Nick Salkowski [ctb];
  Noam Ross [ctb];
  Obada Mahdi [ctb];
  Qiang Li [ctb];
  Ramnath Vaidyanathan [ctb];
  Richard Cotton [ctb];
  Robert Krzyzanowski [ctb];
  Romain Francois [ctb];
  Ruaridh Williamson [ctb];
  Scott Kostyshak [ctb];
  Sebastian Meyer [ctb];
  Sietse Brouwer [ctb];
  Simon de Bernard [ctb];
  Sylvain Rousseau [ctb];
  Taiyun Wei [ctb];
  Thibaut Assus [ctb];
  Thibaut Lamadon [ctb];
  Thomas Leeper [ctb];
  Tim Mastny [ctb];
  Tom Torsney-Weir [ctb];
  Trevor Davis [ctb];
  Viktoras Veitas [ctb];
  Weicheng Zhu [ctb];
  Wush Wu [ctb];
  Zachary Foster [ctb]"
"kutils";"1.67";"Paul Johnson [aut, cre];
  Benjamin Kite [aut];
  Charles Redmon [aut];
  Jared Harpole [ctb];
  Kenna Whitley [ctb];
  Po-Yi Chen [ctb];
  Shadi Pirhosseinloo [ctb]"
"labeling";"0.3";"Justin Talbot"
"later";"0.8.0";"Joe Cheng [aut, cre];
  RStudio [cph];
  Winston Chang [aut];
  Marcus Geelnard [ctb, cph] (TinyCThread library;
	https://tinycthread.github.io/);
  Evan Nemerson [ctb, cph] (TinyCThread library;
    https://tinycthread.github.io/)"
"lattice";"0.20-38";"Deepayan Sarkar <deepayan.sarkar@r-project.org>"
"latticeExtra";"0.6-28";"Deepayan Sarkar <deepayan.sarkar@r-project.org>; Felix Andrews <felix@nfrac.org>"
"lavaan";"0.6-3";"Yves Rosseel [aut, cre] (<https://orcid.org/0000-0002-4129-4477>);
  Daniel Oberski [ctb];
  Jarrett Byrnes [ctb];
  Leonard Vanbrabant [ctb];
  Victoria Savalei [ctb];
  Ed Merkle [ctb];
  Michael Hallquist [ctb];
  Mijke Rhemtulla [ctb];
  Myrsini Katsikatsou [ctb];
  Mariska Barendse [ctb];
  Michael Chow [ctb];
  Terrence D. Jorgensen [ctb] (<https://orcid.org/0000-0001-5111-6773>)"
"lazyeval";"0.2.1";"Hadley Wickham [aut, cre];
  RStudio [cph]"
"lisrelToR";"0.1.4";"Sacha Epskamp"
"lme4";"1.1-20";"Douglas Bates [aut] (<https://orcid.org/0000-0001-8316-9503>);
  Martin Maechler [aut] (<https://orcid.org/0000-0002-8685-9910>);
  Ben Bolker [aut, cre] (<https://orcid.org/0000-0002-2127-0443>);
  Steven Walker [aut] (<https://orcid.org/0000-0002-4394-9078>);
  Rune Haubo Bojesen Christensen [ctb]
	(<https://orcid.org/0000-0002-4494-3399>);
  Henrik Singmann [ctb] (<https://orcid.org/0000-0002-4842-3657>);
  Bin Dai [ctb];
  Fabian Scheipl [ctb] (<https://orcid.org/0000-0001-8172-3603>);
  Gabor Grothendieck [ctb];
  Peter Green [ctb] (<https://orcid.org/0000-0002-0238-9852>);
  John Fox [ctb]"
"lmerTest";"3.1-0";"Alexandra Kuznetsova [aut];
  Per Bruun Brockhoff [aut, ths; cre];
  Rune Haubo Bojesen Christensen [aut]"
"lmtest";"0.9-36";"Torsten Hothorn [aut] (<https://orcid.org/0000-0001-8301-0471>);
  Achim Zeileis [aut, cre] (<https://orcid.org/0000-0003-0918-3766>);
  Richard W. Farebrother [aut] (pan.f);
  Clint Cummins [aut] (pan.f);
  Giovanni Millo [ctb];
  David Mitchell [ctb]"
"logspline";"2.1.12";"Charles Kooperberg <clk@fredhutch.org>"
"longitudinal";"1.1.12";"Rainer Opgen-Rhein and Korbinian Strimmer."
"magrittr";"1.5";"Stefan Milton Bache <stefan@stefanbache.dk> and
    Hadley Wickham <h.wickham@gmail.com>"
