"","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23"
"22",3,4,4,2,2,1,1,4,3,3,3,3,2,3,4,3,2,2,4,1,1,4,2
"23",4,5,2,2,4,4,2,3,2,4,3,3,4,2,2,2,3,3,4,3,2,3,1
"24",5,5,4,4,4,5,5,4,4,5,4,2,3,4,2,4,4,5,5,1,4,2,1
"25",4,5,5,2,4,3,3,2,5,4,3,3,4,3,3,4,3,3,5,3,3,4,3
"26",4,5,3,3,4,5,2,4,3,4,4,4,4,4,3,4,3,4,4,1,2,3,3
"27",3,4,5,3,2,2,3,2,4,2,2,3,2,3,1,1,3,1,4,3,2,4,4
"28",5,4,2,5,5,1,4,5,2,2,5,4,4,2,4,4,4,3,4,4,4,4,4
"29",4,4,3,3,4,4,2,4,4,4,4,3,4,4,4,3,4,4,4,2,3,4,3
"30",4,5,2,4,4,4,5,4,5,5,5,4,4,4,4,4,5,4,3,4,4,5,1
"31",4,4,5,5,4,5,4,5,2,4,5,2,4,4,4,4,5,5,4,2,3,3,2
"32",5,3,3,4,4,4,3,4,4,4,4,2,3,3,3,4,4,4,3,3,3,2,1
"33",4,3,2,4,4,4,2,4,2,4,4,3,4,4,4,4,4,3,2,3,3,2,2
"34",3,3,4,3,3,4,3,4,2,4,4,3,4,3,3,2,3,3,4,3,2,2,2
"35",4,5,4,2,3,2,2,3,4,2,2,2,3,3,2,3,3,2,5,2,2,2,3
"36",4,5,5,3,2,1,2,2,2,2,1,3,2,2,2,3,1,2,4,1,3,2,2
"37",3,4,2,4,4,3,4,4,4,4,4,4,4,4,4,3,3,5,5,4,3,4,2
"38",5,5,3,4,4,5,5,3,2,4,5,4,5,3,2,4,4,5,2,5,4,3,2
"39",4,4,3,2,4,5,4,4,2,4,4,2,4,3,3,3,3,3,4,1,2,4,3
"40",5,5,1,4,4,2,2,5,4,4,4,3,4,2,3,5,5,3,5,4,4,4,4
"41",4,3,5,4,3,3,2,1,1,1,3,3,3,3,3,3,3,3,4,3,3,3,1
"42",3,4,5,2,3,4,2,1,2,4,3,3,2,3,3,3,2,3,5,2,2,3,2
"43",4,4,3,4,5,5,4,4,2,4,3,4,4,4,4,4,4,4,3,4,4,3,2
"44",5,5,3,4,4,4,4,5,5,4,5,4,4,4,3,4,5,5,3,3,5,5,3
"45",3,4,3,3,2,4,3,3,3,4,3,3,4,3,3,2,3,4,4,2,3,3,4
"46",4,5,5,3,4,3,3,4,3,4,4,2,4,3,3,4,4,3,5,2,3,4,5
"47",3,3,4,2,3,4,2,2,2,2,2,2,4,3,2,2,2,3,1,4,3,3,1
"48",4,4,3,4,4,5,4,4,3,4,4,3,4,4,4,3,4,3,2,3,3,3,2
"49",4,5,4,4,3,4,4,4,3,4,4,3,4,3,3,3,4,3,3,2,2,2,2
"50",4,5,3,3,4,3,3,3,2,4,4,2,3,3,4,4,4,3,5,2,3,4,2
"51",5,4,3,3,4,5,5,4,4,5,4,3,3,3,3,3,3,5,4,3,3,3,3
"52",4,4,3,4,4,5,5,4,2,4,4,4,4,4,5,4,4,5,3,4,4,3,3
"53",4,5,3,3,5,4,2,5,5,4,4,4,4,4,4,4,4,4,4,2,4,3,2
"54",3,5,5,4,3,5,5,4,5,4,4,2,5,4,4,5,4,2,4,2,2,2,3
"55",3,5,3,4,3,5,4,4,5,4,4,3,4,3,2,2,4,3,5,1,4,3,2
"56",2,4,5,2,1,2,3,4,4,1,4,2,3,3,2,2,4,2,3,1,1,3,3
"57",3,4,3,4,2,5,3,1,2,4,1,4,2,3,4,4,2,3,2,4,3,3,3
"58",4,2,2,4,2,5,5,5,2,4,4,3,4,4,3,4,4,5,2,4,4,2,3
"59",5,5,4,4,2,4,3,4,4,4,4,3,4,3,3,3,4,5,3,1,2,3,2
"60",4,4,3,4,4,4,4,4,4,3,4,3,4,2,2,3,4,4,3,2,3,3,3
"61",4,4,2,2,2,4,2,5,1,4,5,2,3,4,3,3,4,3,3,2,2,2,2
"62",4,5,4,3,4,4,2,4,5,4,2,2,4,2,2,2,4,2,5,1,2,4,2
"63",4,5,4,4,4,4,3,4,3,4,4,2,3,2,4,4,4,3,4,4,4,3,2
"64",4,4,2,3,3,4,3,4,1,4,4,3,4,3,3,4,4,3,3,3,3,4,2
"65",4,4,2,4,3,5,5,4,2,4,4,4,4,1,4,3,4,5,3,4,4,2,2
"66",4,5,3,3,3,2,1,4,5,3,4,2,3,2,1,3,3,5,3,1,1,4,3
"67",1,5,5,1,1,5,1,1,3,5,1,1,2,1,3,1,1,3,5,1,1,2,3
"68",3,5,5,3,2,3,3,3,4,1,3,2,3,1,4,2,3,3,5,4,3,3,4
"69",3,5,4,4,3,3,3,4,4,4,4,3,4,3,4,3,4,3,2,2,3,3,4
"70",3,5,5,2,3,4,2,2,5,4,2,3,4,3,2,2,4,3,5,2,2,3,2
"71",5,4,4,4,4,4,4,4,2,4,5,4,5,4,4,4,4,4,2,4,4,2,2
"72",3,4,3,2,2,3,2,3,3,2,3,3,4,3,2,2,4,4,4,2,2,4,2
"73",4,4,3,3,2,4,3,4,2,2,4,3,4,3,4,3,4,4,4,2,3,3,3
"74",4,3,3,4,5,5,5,4,2,4,3,4,4,4,4,3,3,5,2,3,3,4,3
"75",4,2,2,3,4,4,3,4,2,4,4,3,2,2,3,4,4,3,3,4,3,2,2
"76",5,5,4,3,5,5,5,3,4,4,3,4,4,4,4,3,3,5,2,2,3,4,4
"77",3,4,3,3,2,2,3,4,4,2,4,3,4,2,2,3,4,3,4,2,3,3,2
"78",3,5,3,3,4,4,3,4,5,5,4,3,5,1,3,3,3,3,3,2,2,3,3
"79",4,5,3,4,3,5,3,3,1,5,3,5,5,5,5,3,3,5,5,2,2,3,2
"80",4,5,3,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,2,3,3,5,3
"81",3,3,2,4,4,5,4,5,1,4,5,4,4,3,3,2,4,4,4,2,4,2,2
"82",3,5,4,2,3,1,1,1,5,3,3,2,4,3,2,2,2,3,3,1,1,3,1
"83",3,5,2,3,2,4,4,4,3,4,4,3,3,3,2,3,4,3,3,3,2,5,2
"84",4,5,1,1,5,5,1,1,1,5,1,1,5,5,2,2,5,2,5,1,1,1,1
"85",3,4,5,3,3,5,3,5,2,5,5,5,5,3,5,5,5,5,2,4,3,3,3
"86",4,5,3,4,4,4,3,4,2,3,4,3,4,4,4,3,4,4,4,3,3,2,2
"87",4,5,3,3,4,5,5,4,5,5,5,4,5,4,5,5,4,5,3,3,3,3,2
"88",4,5,3,4,2,4,4,5,1,5,4,1,4,4,4,4,4,3,4,2,4,2,1
"89",5,4,1,4,5,4,4,4,4,4,4,3,5,4,4,4,5,5,4,2,3,2,1
"90",4,5,3,3,4,4,3,4,5,5,4,2,3,2,4,4,3,4,5,2,2,4,4
"91",3,5,3,5,2,3,2,5,2,2,4,4,4,3,5,2,4,3,5,2,3,2,2
"92",3,2,1,5,4,5,4,5,2,3,4,4,3,4,4,3,3,4,2,4,3,4,4
"93",3,4,3,2,4,4,3,3,1,4,4,3,3,3,4,3,4,4,3,2,3,2,1
"94",3,4,1,1,1,4,1,3,3,3,3,1,1,1,3,1,1,1,3,3,3,3,3
"95",2,5,2,3,2,5,3,4,2,4,3,4,3,3,4,1,3,3,5,4,3,3,2
"96",4,5,2,3,4,4,4,4,4,5,5,3,3,4,2,4,4,4,5,4,4,4,4
"97",4,5,5,4,4,3,3,4,5,5,4,2,3,3,1,3,3,3,5,1,3,5,3
"98",4,4,2,3,4,3,2,4,3,3,4,4,3,3,3,4,4,3,4,4,4,3,2
"99",4,4,2,4,4,4,4,4,3,4,4,4,4,5,5,5,4,5,2,4,4,4,5
"100",4,5,2,4,4,4,4,4,2,4,4,3,4,2,4,4,4,4,2,3,4,2,2
"101",4,4,4,3,3,5,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,2,2
"102",4,4,3,3,4,4,3,4,3,2,4,3,4,4,3,4,3,4,5,2,3,3,2
"103",4,4,2,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,2,2
"104",4,3,2,4,4,5,4,4,2,4,5,4,4,4,4,4,4,5,3,3,4,2,2
"105",5,4,3,4,2,5,4,4,3,2,4,2,4,3,3,5,4,4,3,2,3,5,2
"106",3,5,5,2,2,1,2,3,5,2,1,2,2,3,3,2,2,2,5,3,2,4,1
"107",4,4,2,2,2,1,1,5,3,3,3,2,2,3,2,5,4,2,5,1,1,4,1
"108",3,5,3,3,1,3,2,3,3,4,3,3,3,3,4,3,4,3,4,2,2,3,2
"109",5,5,3,5,5,5,3,5,3,4,4,3,2,4,5,3,4,4,5,3,3,5,2
"110",4,4,3,3,4,1,2,2,4,2,2,3,2,2,4,4,2,2,4,2,2,1,1
"111",3,5,5,2,2,1,1,2,4,2,2,2,3,4,2,1,3,2,4,2,3,3,1
"112",3,4,4,2,2,3,3,4,2,2,4,2,3,2,1,2,3,2,4,2,2,4,3
"113",3,5,4,3,3,4,4,4,2,3,4,3,4,3,4,3,4,4,3,4,4,2,2
"114",4,5,4,3,4,4,4,4,3,4,3,3,3,4,2,2,3,4,5,2,3,2,2
"115",4,5,3,4,4,5,4,4,3,5,3,3,5,3,3,4,4,5,3,1,4,1,2
"116",4,5,4,2,1,5,1,3,5,5,4,2,4,3,1,2,4,5,5,1,3,5,2
"117",4,5,3,5,3,2,2,4,2,3,3,2,3,2,3,3,3,3,3,3,2,3,2
"118",5,5,4,4,4,3,2,5,5,5,4,3,5,4,3,4,5,3,5,1,2,2,1
"119",4,5,5,3,5,1,2,4,5,5,3,4,3,1,2,3,3,4,5,2,2,5,1
"120",4,4,3,4,4,4,4,4,3,2,4,4,4,2,4,4,4,5,3,3,4,3,1
"121",4,4,3,4,4,3,4,4,3,4,4,3,4,4,3,4,3,3,3,3,3,4,2
"122",4,2,4,2,2,4,4,4,2,4,4,2,3,4,4,2,4,2,5,1,2,2,2
"123",4,4,2,4,3,3,4,4,2,4,4,4,4,3,4,4,4,4,2,2,3,3,3
"124",3,5,3,4,3,4,3,5,5,4,4,3,3,3,3,3,4,4,4,3,4,3,2
"125",3,5,5,3,3,4,2,4,5,3,2,2,1,1,3,2,3,1,5,1,2,5,3
"126",3,4,5,3,2,4,2,4,2,3,4,1,4,1,3,2,4,2,5,3,2,3,3
"127",3,5,2,3,3,4,4,4,3,3,4,3,4,4,4,3,3,4,4,2,3,2,2
"128",4,5,3,4,4,4,4,4,2,2,4,4,4,4,2,3,4,4,4,2,2,4,2
"129",4,4,2,4,3,5,5,4,2,4,4,4,5,4,4,4,4,4,5,3,4,1,1
"130",4,5,3,4,3,4,5,4,2,4,4,3,3,4,4,3,4,4,2,3,3,4,3
"131",4,3,2,4,3,4,4,4,2,3,4,4,4,4,4,4,4,3,3,3,4,2,2
"132",5,4,4,4,4,5,3,4,5,4,4,3,4,4,5,4,4,5,4,2,3,4,1
"133",3,4,4,3,3,4,3,3,2,4,3,3,4,3,3,4,3,4,5,2,2,3,3
"134",5,5,3,4,4,4,3,4,3,4,3,3,4,3,4,4,4,4,4,2,3,2,3
"135",4,4,5,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,1,3,3,5
"136",4,5,3,3,4,4,3,4,5,4,3,2,2,3,2,4,2,3,4,2,3,5,4
"137",5,2,3,4,4,4,3,5,3,4,5,4,4,4,4,4,4,4,4,4,4,2,2
"138",5,4,3,4,3,5,2,4,2,4,4,1,5,4,4,4,4,4,4,3,3,2,2
"139",4,4,2,3,3,4,4,4,3,4,4,3,4,4,4,3,3,4,2,3,3,3,2
"140",5,4,4,3,3,2,3,5,2,3,5,2,3,3,3,3,5,3,4,2,3,4,5
"141",4,5,5,2,1,3,1,5,4,2,5,2,5,2,1,1,4,2,5,4,4,4,4
"142",4,5,3,4,4,4,2,4,1,4,4,3,3,2,4,4,4,4,4,1,4,4,2
"143",4,3,3,4,3,2,3,3,4,3,3,3,3,3,2,3,3,3,4,3,4,3,2
"144",4,3,3,3,4,4,3,4,2,3,3,4,4,3,3,3,3,4,3,2,3,2,2
"145",2,4,4,3,2,5,4,4,2,4,4,2,4,4,3,2,3,4,5,4,4,2,5
"146",4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2
"147",4,5,3,4,4,4,4,4,5,5,4,3,4,5,4,4,4,4,5,3,4,3,3
"148",4,4,3,4,4,5,4,4,3,4,5,4,5,4,4,4,4,5,2,3,4,2,2
"149",3,5,3,3,4,3,2,3,5,2,3,2,2,3,2,3,4,3,5,3,2,5,2
"150",5,5,4,5,5,3,3,3,3,5,3,5,4,4,3,5,4,4,4,3,4,3,1
"151",4,4,3,4,4,4,4,4,2,4,4,4,4,4,3,3,3,3,2,4,4,3,3
"152",4,4,2,4,5,5,3,5,1,5,5,3,5,3,5,4,5,5,1,2,3,2,2
"153",4,5,3,4,4,5,2,4,3,5,5,2,5,3,1,3,4,3,2,4,4,2,1
"154",3,4,3,3,3,4,4,4,3,4,4,3,4,4,3,3,4,4,2,3,3,2,2
"155",4,3,2,4,4,3,2,4,2,4,4,4,4,4,3,3,3,4,2,3,3,3,2
"156",4,5,3,3,2,4,3,5,3,4,4,3,5,3,3,3,4,4,3,2,3,3,2
"157",4,4,1,3,2,5,5,4,3,5,5,2,5,5,5,3,3,4,3,2,3,5,3
"158",4,4,4,3,2,3,3,4,4,4,4,3,3,3,4,4,3,4,3,3,2,3,3
"159",4,5,2,5,5,5,5,4,3,5,5,5,5,5,5,5,5,4,5,2,3,3,4
"160",4,5,1,4,5,5,5,4,3,4,4,1,3,2,3,4,4,5,2,1,2,5,5
"161",4,5,3,4,3,3,3,4,2,4,3,3,3,4,3,3,3,3,4,3,3,4,3
"162",4,5,4,3,4,4,3,2,4,4,2,3,3,3,2,3,4,3,5,2,3,4,2
"163",4,3,4,4,2,3,3,4,3,3,4,3,5,3,4,4,4,5,2,2,4,4,4
"164",4,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,3,2,4,3,2,2
"165",4,5,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2
"166",4,5,4,3,2,2,1,4,3,3,3,3,2,3,2,2,4,3,5,4,3,3,4
"167",4,2,2,4,4,4,3,4,2,4,4,3,4,4,3,4,4,4,2,2,3,2,2
"168",4,5,4,3,4,4,2,4,4,2,3,2,3,3,4,2,3,3,3,3,2,4,2
"169",4,5,5,4,4,4,3,5,4,3,5,3,5,3,3,4,4,3,3,4,3,3,3
"170",4,5,3,4,4,4,4,5,4,3,5,3,4,4,4,4,4,4,5,3,4,3,1
"171",3,5,5,2,3,1,1,3,1,3,2,2,2,1,1,2,3,1,5,1,1,5,3
"172",4,4,2,4,4,4,3,4,2,4,4,4,5,5,4,3,4,5,3,4,4,3,3
"173",5,4,3,4,4,3,2,4,5,3,4,4,4,3,3,2,3,4,3,2,2,3,2
"174",5,5,5,2,5,4,2,5,5,5,5,4,4,2,2,5,5,2,5,1,4,2,4
"175",4,5,5,4,4,4,4,4,5,4,4,4,4,3,3,4,4,4,5,1,2,5,1
"176",4,4,4,2,2,4,2,3,4,4,3,3,3,2,3,3,3,2,4,4,4,2,4
"177",4,4,4,2,4,5,4,4,1,4,4,4,5,1,3,4,4,5,4,3,3,5,1
"178",4,4,4,1,2,1,1,4,5,5,3,2,2,2,1,3,4,2,4,4,4,3,4
"179",3,4,5,3,3,5,3,4,2,3,3,2,3,4,3,3,3,2,5,1,2,3,3
"180",4,5,2,5,4,5,4,5,4,4,5,4,4,5,5,5,5,5,5,3,4,2,2
"181",3,5,5,3,3,5,2,3,3,2,4,1,4,2,2,1,3,3,4,4,1,2,2
"182",4,5,3,3,4,4,3,4,4,4,3,4,4,3,1,4,3,3,5,2,2,4,4
"183",5,4,2,3,4,5,5,5,4,4,5,4,5,4,3,3,5,3,5,2,5,2,2
"184",3,5,3,4,4,5,5,5,4,4,5,3,4,4,4,4,4,3,2,1,3,2,2
"185",2,4,4,2,4,3,1,4,3,5,3,3,4,3,3,2,3,3,4,1,2,3,3
"186",4,4,2,3,4,4,2,4,5,4,4,2,3,4,2,4,4,4,4,2,2,2,2
"187",5,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,5,3,3,3,3,2
"188",4,3,2,4,4,4,4,4,2,4,4,3,4,4,3,4,4,4,3,2,4,3,2
"189",4,5,4,1,2,3,3,2,5,2,3,3,5,5,4,4,2,4,4,2,2,2,1
"190",4,4,4,5,3,4,4,4,4,4,5,3,3,3,5,4,4,3,4,2,3,4,5
"191",4,4,3,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,3,3,3,3,2
"192",3,4,2,3,3,5,4,4,2,4,4,3,4,3,4,3,3,3,4,2,4,2,2
"193",4,5,3,5,5,3,3,4,5,2,4,3,4,5,5,4,3,3,2,2,3,3,2
"194",4,4,2,4,2,4,2,4,4,4,3,2,3,2,4,4,4,4,3,2,3,3,2
"195",5,5,3,4,5,5,4,4,5,5,4,4,4,4,4,4,4,5,4,2,4,1,4
"196",3,5,3,2,2,1,1,4,1,4,3,1,4,2,5,4,2,5,4,1,2,5,2
"197",4,2,3,3,4,4,3,4,4,4,4,3,3,4,3,4,4,3,5,2,4,2,2
"198",4,4,4,3,2,2,3,3,3,4,4,3,3,3,2,3,2,3,4,2,3,3,3
"199",5,5,2,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,2,4,2,3
"200",4,4,2,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,3,3,4,3,3
"201",4,3,2,4,3,5,5,4,3,4,5,3,5,5,4,3,4,5,2,3,4,2,4
"202",4,5,3,4,4,5,2,4,3,4,4,4,4,2,4,4,3,4,3,4,5,4,3
"203",3,5,4,2,2,2,2,3,2,2,4,2,3,2,1,1,3,2,5,3,2,4,4
"204",4,1,1,4,4,5,5,5,1,4,5,4,5,4,4,4,4,4,3,3,4,2,2
"205",4,4,2,1,1,1,2,4,3,4,4,3,2,3,2,4,4,3,5,4,1,3,1
"206",2,5,5,1,1,3,4,4,5,5,3,2,4,3,4,1,3,4,5,1,4,3,2
"207",4,5,2,4,4,5,5,4,1,4,4,3,3,4,4,3,4,5,3,4,4,3,1
"208",2,5,4,3,2,2,2,3,5,2,3,2,2,2,3,2,3,3,4,2,2,4,3
"209",3,5,4,3,2,4,4,3,2,4,4,3,4,2,4,3,4,3,3,2,3,4,2
"210",3,5,4,2,2,3,2,3,3,4,3,2,3,3,2,2,3,3,4,1,1,3,2
"211",4,5,4,2,2,4,4,3,5,4,4,3,2,3,2,2,4,4,2,2,3,2,3
"212",3,5,5,1,3,4,2,4,5,2,4,2,4,3,4,3,4,3,4,1,2,3,1
"213",4,4,4,2,4,4,2,4,2,2,4,2,3,2,3,3,2,2,4,2,2,3,2
"214",4,3,2,5,5,5,3,5,3,4,5,4,5,4,3,4,5,5,2,5,4,2,2
"215",4,4,3,2,4,4,2,2,4,3,4,4,3,3,4,2,4,4,5,2,2,2,2
"216",2,5,5,2,3,1,1,2,4,2,1,1,2,1,1,1,2,1,5,2,2,4,2
"217",4,4,3,2,3,4,3,3,2,4,4,4,4,3,4,3,4,3,5,4,4,2,1
"218",4,5,4,3,3,1,2,4,5,2,4,1,2,2,2,2,3,3,4,5,2,3,1
"219",4,5,3,3,4,4,4,4,2,4,4,3,3,3,4,4,4,5,4,4,3,2,2
"220",2,5,4,3,3,3,3,4,3,3,4,4,4,2,3,2,3,3,3,2,4,3,3
"221",5,5,4,3,3,3,2,4,4,2,4,2,3,2,1,3,4,2,5,2,3,5,3
"222",4,4,4,4,3,4,3,4,3,3,4,3,4,3,4,4,4,4,5,3,2,3,2
"223",4,3,3,3,3,4,4,3,4,4,4,3,3,3,3,3,2,3,4,2,2,3,4
"224",4,3,3,4,4,4,3,4,2,3,4,3,4,3,4,3,4,3,4,3,3,2,2
"225",5,5,2,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,2,2,5,2,2
"226",2,2,3,1,3,3,3,2,4,2,2,3,5,3,1,2,4,4,4,1,2,3,2
"227",4,4,3,3,4,3,3,4,2,4,4,3,3,3,3,4,4,3,4,2,4,2,2
"228",3,5,4,2,3,3,3,4,4,3,2,2,3,4,4,4,3,3,4,1,2,4,2
"229",4,5,3,3,4,4,3,5,2,4,4,3,4,3,3,3,4,4,4,2,3,4,2
"230",3,5,3,5,2,5,1,4,1,5,4,3,4,3,5,3,3,2,3,1,3,2,1
"231",3,5,3,4,4,5,1,2,3,4,4,2,3,4,4,4,3,3,4,1,2,2,3
"232",4,2,1,5,5,5,5,5,1,5,5,4,5,5,5,4,5,5,1,5,5,4,1
"233",5,5,2,4,5,5,4,4,5,4,4,2,4,4,1,2,4,4,5,5,4,3,2
"234",4,5,3,3,4,4,3,4,3,3,4,3,4,4,4,4,4,3,3,3,4,3,2
"235",3,5,5,1,3,5,2,4,5,2,2,5,3,1,4,2,2,4,5,2,2,4,5
"236",5,5,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,4,2
"237",4,5,2,4,3,4,5,3,2,4,4,4,5,5,4,4,5,4,4,2,3,3,3
"238",4,4,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3,3,4,3,3,3,3
"239",4,5,4,4,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,1,2,3,2
"240",4,5,3,4,4,4,4,4,3,4,5,3,3,4,3,4,3,4,3,2,3,4,3
"241",1,3,5,1,2,4,2,1,2,4,2,3,4,3,2,2,1,3,1,1,1,4,4
"242",4,5,5,1,3,2,2,2,5,3,1,3,3,3,1,1,1,3,5,1,3,5,3
"243",4,5,4,4,2,5,4,4,5,4,5,4,4,4,5,3,5,4,5,2,2,5,2
"244",4,4,3,2,2,4,2,4,3,4,3,3,4,4,3,4,2,3,4,2,2,4,2
"245",4,4,2,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,3,4,2,2
"246",4,5,4,4,2,4,3,3,2,4,3,3,4,4,3,3,3,4,4,2,3,3,2
"247",3,3,2,3,4,4,5,4,4,4,4,2,3,2,3,3,4,3,2,3,3,2,2
"248",2,5,5,1,1,5,1,3,5,5,3,1,2,3,4,2,2,3,5,1,1,3,2
"249",4,5,3,4,4,4,3,4,4,4,4,3,4,3,3,4,4,4,4,1,2,4,3
"250",4,5,2,3,4,5,4,5,1,5,5,5,5,4,4,3,4,5,2,3,4,1,1
"251",3,5,5,3,3,4,2,3,5,4,2,3,3,2,2,1,1,4,4,3,1,3,4
"252",4,5,4,3,3,2,1,4,1,5,4,1,3,3,3,2,2,1,5,2,2,3,3
"253",4,4,2,4,3,2,4,4,3,2,4,2,4,3,4,4,4,3,4,4,4,4,3
"254",4,4,2,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,3,3,3,3,2
"255",5,5,2,3,2,5,4,4,4,4,5,3,4,4,3,3,4,5,3,3,4,3,2
"256",4,5,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,2,2
"257",4,2,3,5,5,5,5,5,1,5,5,5,5,5,3,4,4,5,2,4,4,2,1
"258",4,4,3,4,3,4,4,3,2,3,4,3,4,4,4,3,3,4,3,4,4,2,3
"259",5,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,3,4,3,1
"260",3,5,5,2,2,3,1,1,5,2,2,2,4,2,1,1,3,2,5,2,2,5,2
"261",4,3,3,3,4,3,4,4,2,4,4,3,4,3,3,4,4,4,4,1,2,2,2
"262",4,5,3,4,5,4,4,5,3,4,5,5,5,4,3,5,3,4,3,3,4,2,3
"263",1,4,4,2,2,1,1,5,5,2,5,1,3,1,3,2,5,1,4,2,2,3,2
"264",5,5,3,3,4,5,4,5,4,5,5,3,4,4,3,4,4,4,4,3,4,2,2
"265",4,5,3,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,2,2,3,4
"266",4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,2,4,4,2
"267",3,5,3,3,4,5,5,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,2
"268",4,4,5,3,1,5,3,3,1,4,4,3,4,2,1,1,3,3,4,2,1,3,3
"269",4,4,5,4,4,1,2,3,4,3,4,2,2,2,4,3,3,1,3,2,2,3,3
"270",4,4,3,3,4,2,2,4,4,4,4,3,4,3,2,2,4,4,4,4,3,4,2
"271",3,5,2,3,3,5,4,4,3,4,4,4,3,3,2,2,4,3,5,3,3,3,3
"272",4,4,3,3,2,4,4,2,5,2,2,2,3,3,2,2,2,3,2,1,2,4,2
"273",4,5,3,4,4,4,4,3,4,4,3,3,4,3,3,3,3,3,5,2,3,3,3
"274",3,5,4,2,4,4,3,3,4,2,4,2,3,4,4,3,3,3,4,5,4,4,2
"275",3,4,3,3,4,5,5,5,2,5,5,3,4,3,4,3,5,5,4,2,3,2,3
"276",4,5,4,4,4,4,4,5,4,3,4,3,4,4,4,3,4,3,4,3,4,4,2
"277",2,5,5,1,1,2,2,4,5,2,2,1,1,3,3,1,1,1,4,1,1,3,3
"278",3,5,5,3,3,5,2,5,5,5,5,1,2,4,2,3,5,2,4,1,1,1,2
"279",3,4,2,3,2,4,4,4,2,4,4,3,5,4,5,4,4,3,4,3,4,1,1
"280",3,5,5,3,4,2,2,3,4,3,2,2,3,3,2,3,3,3,2,2,3,2,3
"281",4,5,2,4,4,2,2,4,2,4,4,2,4,4,4,4,4,2,2,2,2,2,2
