"ID","Stratum","BookValue","AuditValue","Selected"
122,"Distribution center",100,NA,0
123,"Distribution center",100,NA,0
124,"Distribution center",100,NA,0
125,"Distribution center",100,NA,0
126,"Distribution center",102.74,NA,0
127,"Distribution center",103.77,NA,0
128,"Distribution center",150,NA,0
129,"Distribution center",168.86,NA,0
130,"Distribution center",200,NA,0
131,"Distribution center",200,NA,0
132,"Distribution center",200,NA,0
133,"Distribution center",200,NA,0
134,"Distribution center",200,NA,0
135,"Distribution center",212.84,NA,0
136,"Distribution center",250,250,1
137,"Distribution center",294.81,NA,0
138,"Distribution center",333.24,NA,0
139,"Distribution center",400,NA,0
140,"Distribution center",400,NA,0
141,"Distribution center",400,NA,0
142,"Distribution center",400,NA,0
143,"Distribution center",500,NA,0
144,"Distribution center",600,NA,0
145,"Distribution center",600,NA,0
146,"Distribution center",700,700,1
147,"Distribution center",800,NA,0
148,"Distribution center",800,NA,0
149,"Distribution center",800,NA,0
150,"Distribution center",800,NA,0
151,"Distribution center",800,800,1
152,"Distribution center",800,NA,0
153,"Distribution center",900,NA,0
154,"Distribution center",993.27,NA,0
155,"Distribution center",1200,NA,0
156,"Distribution center",1256.91,900,1
157,"Distribution center",1550,NA,0
158,"Distribution center",1600,NA,0
159,"Distribution center",1800,1800,1
160,"Distribution center",2263.53,NA,0
161,"Distribution center",2270.34,2270.34,1
162,"Distribution center",2413.37,2413.37,1
163,"Distribution center",2447.71,NA,0
164,"Distribution center",2507.66,2507.66,1
165,"Distribution center",2547.32,NA,0
166,"Distribution center",2900,2900,1
167,"Distribution center",3263.62,3263.62,1
168,"Distribution center",4256.89,4256.89,1
169,"Distribution center",4966.37,4966.37,1
170,"Distribution center",10287.48,10287.48,2
171,"Store Amsterdam",16503.42,13405.66,1
172,"Store Amsterdam",32794.8,29515.32,1
173,"Store Amsterdam",26932.7,0,1
174,"Store Amsterdam",28328.98,0,2
175,"Store Amsterdam",29948.2,0,1
176,"Store Amsterdam",31997.3,6263.88,2
177,"Store Amsterdam",26785.97,24107.38,1
178,"Store Amsterdam",26181.74,0,1
179,"Store Amsterdam",30224.69,0,2
180,"Store Amsterdam",28131.71,25318.54,1
181,"Store Amsterdam",25719.08,0,1
182,"Store Amsterdam",30305.02,0,1
183,"Store Amsterdam",23286.32,9314.53,2
184,"Store Amsterdam",19203.89,NA,0
185,"Store Amsterdam",17883.53,0,1
186,"Store Amsterdam",25486.23,0,1
187,"Store Amsterdam",22412.81,0,2
188,"Store Amsterdam",30305.74,0,1
189,"Store Amsterdam",21864.82,0,1
190,"Store Amsterdam",16519.24,0,1
191,"Store Amsterdam",22079.68,0,1
192,"Store Amsterdam",29354.32,0,1
193,"Store Amsterdam",14724.57,0,1
194,"Store Amsterdam",5962.63,NA,0
195,"Store Amsterdam",17910.67,0,1
196,"Store Amsterdam",22272.5,20045.25,1
197,"Store Amsterdam",13971.99,0,1
198,"Store Amsterdam",9040.25,NA,0
199,"Store Amsterdam",15820.55,0,1
200,"Store Amsterdam",4098.11,NA,0
201,"Store Amsterdam",3518.85,NA,0
202,"Store Amsterdam",4454.45,NA,0
203,"Store Amsterdam",3370.35,3033.31,1
204,"Store Amsterdam",3235.08,NA,0
205,"Store Amsterdam",4691.42,NA,0
206,"Store Amsterdam",2646.3,NA,0
207,"Store Amsterdam",2615.79,NA,0
208,"Store Amsterdam",2867.13,NA,0
209,"Store Amsterdam",1551.15,NA,0
210,"Store Amsterdam",3724,2420.6,1
211,"Store Amsterdam",2128,NA,0
212,"Store Amsterdam",2128,NA,0
213,"Store Amsterdam",2128,NA,0
214,"Store Amsterdam",2128,1383.2,1
215,"Store Amsterdam",2128,NA,0
216,"Store Amsterdam",2128,NA,0
217,"Store Amsterdam",2660,NA,0
218,"Store Amsterdam",1596,NA,0
219,"Store Amsterdam",2394,1556.1,1
220,"Store Amsterdam",2128,NA,0
221,"Store Amsterdam",2128,NA,0
222,"Store Amsterdam",2128,NA,0
223,"Store Amsterdam",9044,5878.6,1
224,"Store Amsterdam",11172,7261.8,2
225,"Store Amsterdam",9044,NA,0
226,"Store Amsterdam",10640,0,2
227,"Store Amsterdam",9243.5,6008.27,1
228,"Store Amsterdam",10906,7088.9,1
229,"Store Amsterdam",11704,7607.6,1
230,"Store Amsterdam",2520,NA,0
231,"Store Amsterdam",3540,2301,1
232,"Store Amsterdam",3690,NA,0
233,"Store Amsterdam",3480,NA,0
234,"Store Amsterdam",3840,2496,1
235,"Store Amsterdam",4050,NA,0
236,"Store Amsterdam",2820,1833,1
237,"Store Amsterdam",3360,NA,0
238,"Store Amsterdam",3930,NA,0
239,"Store Amsterdam",3420,2223,1
240,"Store Amsterdam",3180,NA,0
241,"Store Amsterdam",2880,NA,0
242,"Store Amsterdam",3570,0,1
243,"Store Amsterdam",3180,NA,0
244,"Store Amsterdam",3120,NA,0
245,"Store Amsterdam",3210,0,1
246,"Store Amsterdam",3660,NA,0
247,"Store Amsterdam",3120,NA,0
248,"Store Amsterdam",4440,0,1
249,"Store Amsterdam",1680,NA,0
250,"Store Amsterdam",3000,NA,0
251,"Store Amsterdam",3720,2418,1
252,"Store Amsterdam",3000,NA,0
253,"Store Amsterdam",3210,NA,0
254,"Store Amsterdam",3360,2184,1
255,"Store Amsterdam",2880,NA,0
256,"Store Amsterdam",3120,NA,0
257,"Store Amsterdam",3240,2106,1
258,"Store Amsterdam",8512,5532.8,1
259,"Store Amsterdam",10640,6916,1
260,"Store Amsterdam",13300,8645,1
261,"Store Amsterdam",9044,5878.6,1
262,"Store Amsterdam",7182,4668.3,1
263,"Store Amsterdam",10108,6570.2,1
264,"Store Amsterdam",9509.5,0,1
265,"Store Amsterdam",11571,0,1
266,"Store Amsterdam",12236,7953.4,1
267,"Store Amsterdam",11704,7607.6,2
268,"Store Amsterdam",10640,6916,1
269,"Store Amsterdam",2175,NA,0
270,"Store Amsterdam",2005,NA,0
271,"Store Amsterdam",1400,NA,0
272,"Store Amsterdam",1445,0,1
273,"Store Amsterdam",1050,NA,0
274,"Store Amsterdam",16625,5403.12,1
275,"Store Amsterdam",7125,3087.5,1
276,"Store Amsterdam",12000,7800,1
277,"Store Amsterdam",12000,7800,2
278,"Store Amsterdam",12000,7800,1
279,"Store Amsterdam",12000,7800,1
280,"Store Amsterdam",4079.75,3671.78,1
281,"Store Amsterdam",4079.75,NA,0
282,"Store Amsterdam",4079.75,3671.78,1
283,"Store Amsterdam",4079.75,NA,0
284,"Store Amsterdam",4079.75,NA,0
285,"Store Amsterdam",4079.75,3671.78,1
286,"Store Amsterdam",4079.75,NA,0
287,"Store Amsterdam",4079.75,3671.78,1
288,"Store Amsterdam",4079.75,NA,0
289,"Store Amsterdam",4079.75,3671.78,1
290,"Store Amsterdam",4079.75,NA,0
291,"Store Amsterdam",4079.75,NA,0
292,"Store Amsterdam",6585,5926.5,1
293,"Store Amsterdam",4390,3951,1
294,"Store Amsterdam",3360,NA,0
295,"Store Amsterdam",3360,NA,0
296,"Store Amsterdam",2880,0,1
297,"Store Amsterdam",3480,NA,0
298,"Store Amsterdam",7182,0,1
299,"Store Amsterdam",5453,NA,0
300,"Store Amsterdam",6650,0,1
301,"Store Amsterdam",6650,0,1
302,"Store Amsterdam",7448,0,1
303,"Store Amsterdam",4788,NA,0
304,"Store Amsterdam",1815,NA,0
305,"Store Amsterdam",1815,NA,0
306,"Store Amsterdam",1815,NA,0
307,"Store Amsterdam",1815,NA,0
308,"Store Amsterdam",1815,0,1
309,"Store Amsterdam",1815,NA,0
310,"Store Amsterdam",1815,NA,0
311,"Store Amsterdam",1815,NA,0
312,"Store Amsterdam",1815,NA,0
313,"Store Amsterdam",1815,1125,1
314,"Store Amsterdam",1815,NA,0
315,"Store Amsterdam",1815,NA,0
316,"Store Amsterdam",1815,NA,0
317,"Store Amsterdam",19650,12179.75,3
318,"Store Amsterdam",1815,NA,0
319,"Store Amsterdam",10890,6750,1
320,"Store Amsterdam",21780,13500,3
321,"Store Amsterdam",12705,7875,1
322,"Store Amsterdam",14520,9000,2
323,"Store Amsterdam",23595,0,3
324,"Store Amsterdam",150,NA,0
325,"Store Amsterdam",150,NA,0
326,"Store Amsterdam",950,NA,0
327,"Store Amsterdam",950,NA,0
328,"Store Amsterdam",150,NA,0
329,"Store Amsterdam",950,NA,0
330,"Store Amsterdam",950,0,1
331,"Store Amsterdam",150,NA,0
332,"Store Amsterdam",950,NA,0
333,"Store Amsterdam",150,NA,0
334,"Store Amsterdam",950,NA,0
335,"Store Amsterdam",950,NA,0
336,"Store Amsterdam",150,NA,0
337,"Store Amsterdam",2750,NA,0
338,"Store Amsterdam",950,NA,0
339,"Store Amsterdam",150,NA,0
340,"Store Amsterdam",950,0,1
341,"Store Amsterdam",2750,NA,0
342,"Store Amsterdam",300,NA,0
343,"Store Amsterdam",950,NA,0
344,"Store Amsterdam",500,NA,0
345,"Store Amsterdam",2750,NA,0
346,"Store Amsterdam",650,0,1
347,"Store Amsterdam",950,NA,0
348,"Store Amsterdam",950,NA,0
349,"Store Amsterdam",150,NA,0
350,"Store Amsterdam",950,NA,0
351,"Store Amsterdam",950,NA,0
352,"Store Amsterdam",950,NA,0
353,"Store Amsterdam",2450,NA,0
354,"Store Amsterdam",150,0,1
355,"Store Amsterdam",150,NA,0
356,"Store Amsterdam",2750,NA,0
357,"Store Amsterdam",150,NA,0
358,"Store Amsterdam",950,NA,0
359,"Store Amsterdam",150,NA,0
360,"Store Amsterdam",150,NA,0
361,"Store Amsterdam",150,NA,0
362,"Store Amsterdam",950,NA,0
363,"Store Amsterdam",150,NA,0
364,"Store Amsterdam",950,NA,0
365,"Store Amsterdam",950,NA,0
366,"Store Amsterdam",950,0,1
367,"Store Amsterdam",950,NA,0
368,"Store Amsterdam",150,NA,0
369,"Store Amsterdam",950,NA,0
370,"Store Amsterdam",150,NA,0
371,"Store Amsterdam",150,NA,0
372,"Store Amsterdam",2750,NA,0
373,"Store Amsterdam",150,NA,0
374,"Store Amsterdam",950,NA,0
375,"Store Amsterdam",2750,0,1
376,"Store Amsterdam",950,NA,0
377,"Store Amsterdam",500,NA,0
378,"Store Amsterdam",13750,0,2
379,"Store Amsterdam",950,NA,0
380,"Store Amsterdam",150,NA,0
381,"Store Amsterdam",150,NA,0
382,"Store Amsterdam",950,NA,0
383,"Store Amsterdam",2750,NA,0
384,"Store Amsterdam",2750,0,1
385,"Store Amsterdam",2750,NA,0
386,"Store Amsterdam",950,NA,0
387,"Store Amsterdam",950,NA,0
388,"Store Amsterdam",2750,0,1
389,"Store Amsterdam",950,NA,0
390,"Store Amsterdam",950,NA,0
391,"Store Amsterdam",950,NA,0
392,"Store Amsterdam",150,NA,0
393,"Store Amsterdam",950,NA,0
394,"Store Amsterdam",150,NA,0
395,"Store Amsterdam",950,NA,0
396,"Store Amsterdam",950,NA,0
397,"Store Amsterdam",950,NA,0
398,"Store Amsterdam",150,NA,0
399,"Store Amsterdam",950,0,1
400,"Store Amsterdam",150,NA,0
401,"Store Amsterdam",150,NA,0
402,"Store Amsterdam",950,NA,0
403,"Store Amsterdam",150,NA,0
404,"Store Amsterdam",2750,NA,0
405,"Store Amsterdam",950,NA,0
406,"Store Amsterdam",150,NA,0
407,"Store Amsterdam",950,NA,0
408,"Store Amsterdam",300,NA,0
409,"Store Amsterdam",950,0,1
410,"Store Amsterdam",500,NA,0
411,"Store Amsterdam",950,NA,0
412,"Store Amsterdam",950,NA,0
413,"Store Amsterdam",2750,NA,0
414,"Store Amsterdam",950,NA,0
415,"Store Amsterdam",950,NA,0
416,"Store Amsterdam",950,0,1
417,"Store Amsterdam",950,NA,0
418,"Store Amsterdam",500,NA,0
419,"Store Amsterdam",150,NA,0
420,"Store Amsterdam",950,NA,0
421,"Store Amsterdam",950,NA,0
422,"Store Amsterdam",2750,NA,0
423,"Store Amsterdam",950,0,1
424,"Store Amsterdam",950,NA,0
425,"Store Amsterdam",950,NA,0
426,"Store Amsterdam",150,NA,0
427,"Store Amsterdam",950,NA,0
428,"Store Amsterdam",950,NA,0
429,"Store Amsterdam",2750,NA,0
430,"Store Amsterdam",150,NA,0
431,"Store Amsterdam",950,0,1
432,"Store Amsterdam",950,NA,0
433,"Store Amsterdam",150,NA,0
434,"Store Amsterdam",950,NA,0
435,"Store Amsterdam",150,NA,0
436,"Store Amsterdam",150,NA,0
437,"Store Amsterdam",2750,NA,0
438,"Store Amsterdam",950,NA,0
439,"Store Amsterdam",950,NA,0
440,"Store Amsterdam",2750,0,1
441,"Store Amsterdam",950,NA,0
442,"Store Amsterdam",950,NA,0
443,"Store Amsterdam",950,NA,0
444,"Store Amsterdam",950,NA,0
445,"Store Amsterdam",150,NA,0
446,"Store Amsterdam",950,NA,0
447,"Store Amsterdam",150,NA,0
448,"Store Amsterdam",2750,0,1
449,"Store Amsterdam",950,NA,0
450,"Store Amsterdam",150,NA,0
451,"Store Amsterdam",950,NA,0
452,"Store Amsterdam",950,NA,0
453,"Store Amsterdam",950,NA,0
454,"Store Amsterdam",2750,0,1
455,"Store Amsterdam",150,NA,0
456,"Store Amsterdam",950,NA,0
457,"Store Amsterdam",950,NA,0
458,"Store Amsterdam",300,NA,0
459,"Store Amsterdam",150,NA,0
460,"Store Amsterdam",950,NA,0
461,"Store Amsterdam",2750,NA,0
462,"Store Amsterdam",950,0,1
463,"Store Amsterdam",500,NA,0
464,"Store Amsterdam",950,NA,0
465,"Store Amsterdam",150,NA,0
466,"Store Amsterdam",950,NA,0
467,"Store Amsterdam",150,NA,0
468,"Store Amsterdam",950,NA,0
469,"Store Amsterdam",950,NA,0
470,"Store Amsterdam",150,NA,0
471,"Store Amsterdam",300,NA,0
472,"Store Amsterdam",950,NA,0
473,"Store Amsterdam",950,NA,0
474,"Store Amsterdam",150,NA,0
475,"Store Amsterdam",950,0,1
476,"Store Amsterdam",150,NA,0
477,"Store Amsterdam",150,NA,0
478,"Store Amsterdam",950,NA,0
479,"Store Amsterdam",150,NA,0
480,"Store Amsterdam",950,NA,0
481,"Store Amsterdam",150,NA,0
482,"Store Amsterdam",150,NA,0
483,"Store Amsterdam",950,NA,0
484,"Store Amsterdam",150,NA,0
485,"Store Amsterdam",150,NA,0
486,"Store Amsterdam",950,NA,0
487,"Store Amsterdam",950,NA,0
488,"Store Amsterdam",2750,0,1
489,"Store Amsterdam",2750,NA,0
490,"Store Amsterdam",2750,NA,0
491,"Store Amsterdam",1542.75,0,1
492,"Store Amsterdam",950,NA,0
493,"Store Amsterdam",363,NA,0
494,"Store Amsterdam",950,NA,0
495,"Store Amsterdam",950,NA,0
496,"Store Amsterdam",150,NA,0
497,"Store Amsterdam",950,NA,0
498,"Store Amsterdam",950,NA,0
499,"Store Amsterdam",950,NA,0
500,"Store Amsterdam",950,NA,0
501,"Store Amsterdam",950,0,1
502,"Store Amsterdam",150,NA,0
503,"Store Amsterdam",150,NA,0
504,"Store Amsterdam",150,NA,0
505,"Store Amsterdam",150,NA,0
506,"Store Amsterdam",950,NA,0
507,"Store Amsterdam",150,NA,0
508,"Store Amsterdam",1275,NA,0
509,"Store Amsterdam",950,NA,0
510,"Store Amsterdam",150,NA,0
511,"Store Amsterdam",150,NA,0
512,"Store Amsterdam",150,NA,0
513,"Store Amsterdam",950,NA,0
514,"Store Amsterdam",391.35,NA,0
515,"Store Amsterdam",350,NA,0
516,"Store Amsterdam",350,NA,0
517,"Store Amsterdam",2750,0,1
518,"Store Amsterdam",950,NA,0
519,"Store Amsterdam",150,NA,0
520,"Store Amsterdam",150,NA,0
521,"Store Amsterdam",950,NA,0
522,"Store Amsterdam",150,NA,0
523,"Store Amsterdam",150,NA,0
524,"Store Amsterdam",150,NA,0
525,"Store Amsterdam",150,NA,0
526,"Store Amsterdam",950,NA,0
527,"Store Amsterdam",150,NA,0
528,"Store Amsterdam",950,NA,0
529,"Store Amsterdam",950,NA,0
530,"Store Amsterdam",950,0,1
531,"Store Amsterdam",1275,NA,0
532,"Store Amsterdam",1275,NA,0
533,"Store Amsterdam",2750,NA,0
534,"Store Amsterdam",150,NA,0
535,"Store Amsterdam",150,NA,0
536,"Store Amsterdam",150,NA,0
537,"Store Amsterdam",150,NA,0
538,"Store Amsterdam",950,NA,0
539,"Store Amsterdam",950,0,1
540,"Store Amsterdam",150,NA,0
541,"Store Amsterdam",950,NA,0
542,"Store Amsterdam",150,NA,0
543,"Store Amsterdam",2750,NA,0
544,"Store Amsterdam",150,NA,0
545,"Store Amsterdam",2750,NA,0
546,"Store Amsterdam",950,0,1
547,"Store Amsterdam",150,NA,0
548,"Store Amsterdam",150,NA,0
549,"Store Amsterdam",150,NA,0
550,"Store Amsterdam",150,NA,0
551,"Store Amsterdam",150,NA,0
552,"Store Amsterdam",950,NA,0
553,"Store Amsterdam",50,NA,0
554,"Store Amsterdam",950,NA,0
555,"Store Amsterdam",150,NA,0
556,"Store Amsterdam",80,NA,0
557,"Store Amsterdam",950,NA,0
558,"Store Amsterdam",150,NA,0
559,"Store Amsterdam",950,NA,0
560,"Store Amsterdam",950,NA,0
561,"Store Amsterdam",150,NA,0
562,"Store Amsterdam",1275,0,1
563,"Store Amsterdam",2750,NA,0
564,"Store Amsterdam",300,NA,0
565,"Store Amsterdam",150,NA,0
566,"Store Amsterdam",950,NA,0
567,"Store Amsterdam",950,NA,0
568,"Store Amsterdam",150,NA,0
569,"Store Amsterdam",1275,NA,0
570,"Store Amsterdam",950,NA,0
571,"Store Amsterdam",1275,0,1
572,"Store Amsterdam",150,NA,0
573,"Store Amsterdam",950,NA,0
574,"Store Amsterdam",2750,NA,0
575,"Store Amsterdam",950,NA,0
576,"Store Amsterdam",300,NA,0
577,"Store Amsterdam",150,NA,0
578,"Store Amsterdam",2750,0,1
579,"Store Amsterdam",950,NA,0
580,"Store Amsterdam",1275,NA,0
581,"Store Amsterdam",300,NA,0
582,"Store Amsterdam",2750,NA,0
583,"Store Amsterdam",1275,0,1
584,"Store Amsterdam",950,NA,0
585,"Store Amsterdam",950,NA,0
586,"Store Amsterdam",950,NA,0
587,"Store Amsterdam",950,NA,0
588,"Store Amsterdam",1275,NA,0
589,"Store Amsterdam",950,NA,0
590,"Store Amsterdam",950,NA,0
591,"Store Amsterdam",1050,0,1
592,"Store Amsterdam",950,NA,0
593,"Store Amsterdam",2750,NA,0
594,"Store Amsterdam",150,NA,0
595,"Store Amsterdam",2750,NA,0
596,"Store Amsterdam",291.67,NA,0
597,"Store Amsterdam",350,NA,0
598,"Store Amsterdam",1580,0,1
599,"Store Amsterdam",700,NA,0
600,"Store Amsterdam",291.67,NA,0
601,"Store Amsterdam",291.67,NA,0
602,"Store Amsterdam",700,NA,0
603,"Store Amsterdam",500,NA,0
604,"Store Amsterdam",350,NA,0
605,"Store Amsterdam",700,NA,0
606,"Store Amsterdam",350,NA,0
607,"Store Amsterdam",583.33,NA,0
608,"Store Amsterdam",291.67,NA,0
609,"Store Amsterdam",583.33,NA,0
610,"Store Amsterdam",750,NA,0
611,"Store Amsterdam",2370,0,1
612,"Store Amsterdam",750,NA,0
613,"Store Amsterdam",500,NA,0
614,"Store Amsterdam",583.33,NA,0
615,"Store Amsterdam",350,NA,0
616,"Store Amsterdam",500,NA,0
617,"Store Amsterdam",291.67,NA,0
618,"Store Amsterdam",700,NA,0
619,"Store Amsterdam",1580,NA,0
620,"Store Amsterdam",2370,0,1
621,"Store Amsterdam",583.33,NA,0
622,"Store Amsterdam",350,NA,0
623,"Store Amsterdam",500,NA,0
624,"Store Amsterdam",583.33,NA,0
625,"Store Amsterdam",500,NA,0
626,"Store Amsterdam",291.67,NA,0
627,"Store Amsterdam",350,NA,0
628,"Store Amsterdam",350,NA,0
629,"Store Amsterdam",350,NA,0
630,"Store Amsterdam",350,NA,0
631,"Store Amsterdam",291.67,NA,0
632,"Store Amsterdam",291.67,NA,0
633,"Store Amsterdam",750,NA,0
634,"Store Amsterdam",291.67,NA,0
635,"Store Amsterdam",291.67,NA,0
636,"Store Amsterdam",291.67,0,1
637,"Store Amsterdam",291.67,NA,0
638,"Store Amsterdam",500,NA,0
639,"Store Amsterdam",500,NA,0
640,"Store Amsterdam",583.33,NA,0
641,"Store Amsterdam",388.8,NA,0
642,"Store Amsterdam",1500,NA,0
643,"Store Amsterdam",622.24,NA,0
644,"Store Amsterdam",388.8,NA,0
645,"Store Amsterdam",1500,NA,0
646,"Store Amsterdam",388.9,NA,0
647,"Store Amsterdam",1500,937.5,1
648,"Store Amsterdam",388.9,NA,0
649,"Store Amsterdam",625,NA,0
650,"Store Amsterdam",622.24,NA,0
651,"Store Amsterdam",681.82,NA,0
652,"Store Amsterdam",388.9,NA,0
653,"Store Amsterdam",681.82,NA,0
654,"Store Amsterdam",622.24,NA,0
655,"Store Amsterdam",1500,NA,0
656,"Store Amsterdam",681.82,NA,0
657,"Store Amsterdam",681.82,NA,0
658,"Store Amsterdam",681.82,0,1
659,"Store Amsterdam",681.8,NA,0
660,"Store Amsterdam",625,NA,0
661,"Store Amsterdam",388.9,NA,0
662,"Store Amsterdam",1500,NA,0
663,"Store Amsterdam",622.24,NA,0
664,"Store Amsterdam",625,NA,0
665,"Store Amsterdam",625,NA,0
666,"Store Amsterdam",681.82,NA,0
667,"Store Amsterdam",681.82,NA,0
668,"Store Amsterdam",622.24,NA,0
669,"Store Amsterdam",681.82,0,1
670,"Store Amsterdam",388.9,NA,0
671,"Store Amsterdam",625,NA,0
672,"Store Amsterdam",388.9,NA,0
673,"Store Amsterdam",625,NA,0
674,"Store Amsterdam",388.9,NA,0
675,"Store Amsterdam",388.9,NA,0
676,"Store Amsterdam",681.82,NA,0
677,"Store Amsterdam",681.8,NA,0
678,"Store Amsterdam",625,NA,0
679,"Store Amsterdam",625,NA,0
680,"Store Amsterdam",1188,NA,0
681,"Store Amsterdam",1188,1188,1
682,"Store Amsterdam",1188,NA,0
683,"Store Amsterdam",1188,NA,0
684,"Store Amsterdam",780,NA,0
685,"Store Amsterdam",1040,NA,0
686,"Store Amsterdam",1188,NA,0
687,"Store Amsterdam",1188,NA,0
688,"Store Amsterdam",249.88,NA,0
689,"Store Amsterdam",245.48,NA,0
690,"Store Amsterdam",245.48,NA,0
691,"Store Amsterdam",2375,0,1
692,"Store Amsterdam",1062.5,NA,0
693,"Store Amsterdam",1200,NA,0
694,"Store Amsterdam",2100,NA,0
695,"Store Amsterdam",1400,NA,0
696,"Store Amsterdam",351.5,351.5,1
697,"Store Amsterdam",175,NA,0
698,"Store Amsterdam",175,NA,0
699,"Store Amsterdam",175,NA,0
700,"Store Amsterdam",175,NA,0
701,"Store Amsterdam",1130.5,NA,0
702,"Store Amsterdam",175,NA,0
703,"Store Amsterdam",175,NA,0
704,"Store Amsterdam",1054.5,NA,0
705,"Store Amsterdam",703,NA,0
706,"Store Amsterdam",1833.5,NA,0
707,"Store Amsterdam",1833.5,0,1
708,"Store Amsterdam",175,NA,0
709,"Store Amsterdam",703,NA,0
710,"Store Amsterdam",175,NA,0
711,"Store Amsterdam",1282.5,NA,0
712,"Store Amsterdam",1054.5,NA,0
713,"Store Amsterdam",1239.67,NA,0
714,"Store Amsterdam",1890,NA,0
715,"Store Amsterdam",1620,1620,1
716,"Store Amsterdam",1755,NA,0
717,"Store Amsterdam",1620,NA,0
718,"Store Amsterdam",1890,NA,0
719,"Store Amsterdam",667.5,NA,0
720,"Store Amsterdam",534,NA,0
721,"Store Amsterdam",1246,1246,1
722,"Store Amsterdam",1311,NA,0
723,"Store Amsterdam",874,NA,0
724,"Store Amsterdam",874,NA,0
725,"Store Amsterdam",874,NA,0
