Animal,Training,Dance
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,Yes
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Cat,Affection as Reward,No
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,Yes
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Food as Reward,No
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,Yes
Dog,Affection as Reward,No
Dog,Affection as Reward,No
Dog,Affection as Reward,No
Dog,Affection as Reward,No
Dog,Affection as Reward,No
Dog,Affection as Reward,No
Dog,Affection as Reward,No
