"Neuroticism","Extraversion","Openness","Agreeableness","Conscientiousness"
3,3.416666667,3.395833333,3.375,3.159583333
3.791666667,3.020833333,4.4375,3.4375,2.833333333
1.75,4.229166667,3.645833333,3.895833333,3.708333333
3.104166667,3.354166667,3.8125,3.208333333,2.4375
3.6875,2.958333333,3.208333333,3.416666667,2.854166667
3.708333333,2.770833333,3.833333333,2.729166667,3.520833333
3.25,3.270833333,3.333333333,3.395833333,2.895833333
2.333333333,3.583333333,3.729166667,3.7875,2.8125
2.354166667,3.5625,3.299791667,3.791666667,2.75
2.604166667,2.979166667,3.645833333,3.104166667,3.583333333
3.145833333,3.770833333,3.729166667,3.375,2.958333333
3.291666667,3.166666667,3.8125,3.145833333,3.416666667
3.145833333,3.291666667,3.229166667,3.520833333,2.979166667
2.854166667,2.833333333,2.895833333,3.5625,3.291666667
2.833333333,3.3125,3.395833333,3.479166667,3.270833333
3.3125,3.645833333,4.104166667,3.833333333,2.583333333
2.520833333,3.25,3.5,3.125625,3.125
2.833333333,3.875,3.5,3.4375,4.1875
3.145833333,3.833333333,3.583333333,2.708333333,3.375
2.958333333,3.208333333,3.4375,3.729166667,3.541666667
2.979166667,3.333333333,3.020833333,3.729166667,3.0625
2.333333333,3.979166667,3.895833333,3.604166667,3.979166667
2.818541667,3.395833333,2.958333333,3.104166667,3.270833333
2.625,3.3125,3.594583333,3.354166667,3.5
2.6875,2.895833333,3.416666667,3.270833333,3.479166667
2.541666667,4.1875,3.729166667,2.5625,2.958333333
2.3125,3.604166667,4.291666667,3.854166667,3.729166667
3.229166667,3.708333333,3.96375,2.75,2.979166667
2.291666667,3.6875,3.479166667,3.5,3.854166667
3.5625,3.5625,3.3125,4,3.336458333
3.145833333,3.5625,3.8125,3.4375,2.541666667
2.5625,3.3125,3.530416667,3.145833333,3.125
2.895833333,3.729166667,3.5625,3.229166667,3.270833333
2.395833333,3.791666667,3.854166667,3.25,3.708333333
3,3.571666667,3.416666667,2.979166667,3.208333333
2.669583333,3.9375,3.895833333,3.606041667,3.1875
3.145833333,4.166666667,4.083333333,3.104166667,3.125
2.5625,3.479166667,3.166666667,3.458333333,3.1875
2.958333333,3.75,3.229166667,3.333333333,2.979166667
2.857083333,3.729166667,3.75,3.293541667,3.145833333
3,3.770833333,3.770833333,3.5625,2.770833333
2.583333333,3.333333333,3.208333333,2.916666667,3.166666667
3.229166667,3.625,4.125,3.041666667,3.4375
2.645833333,3.229166667,3.479166667,3.375,3.5
2.666666667,3.625,3.6875,3.520833333,3.458333333
2.55875,3.291666667,3.645833333,3.479166667,3.479166667
2.916666667,3.620208333,3.916666667,3.479166667,2.791666667
2.354166667,2.5625,3.541666667,3.520833333,3.916666667
3.291666667,3.354166667,3.333333333,4.083333333,3.854166667
3.125,3.645833333,4.083333333,3.729166667,2.916666667
3.020833333,2.625,3.708333333,3.291666667,3.520833333
2.1875,3.958333333,4.083333333,3.270833333,3.541666667
2.5625,4.25,3.604166667,2.4375,3.020833333
2.270833333,3.875,3.25,2.375,3.1875
2.666666667,3.708333333,2.958333333,3.604166667,2.395833333
2.708333333,3.104166667,3.666666667,3.541666667,3.3125
2.770833333,3.3125,3.75,3.4375,2.979166667
2.625,3.0625,3.3125,3.229166667,3.395833333
2.125,2.395833333,3.291666667,3.9375,3.708333333
2.708333333,3.8125,3.459166667,3.0625,3.25
3.625,3.25,3.145833333,3.166666667,3.25
3.479166667,3.125,2.979166667,3.3125,3.1875
2,3.020833333,3.791666667,3.5,2.9375
3.270833333,3.1875,3.166666667,3.854166667,2.833333333
2.791666667,3.6875,3.5,3.375,3.1875
2.76,3.604166667,3.979166667,3.666666667,2.979166667
1.895833333,3.8125,3.75,2.333333333,4.020833333
2.333333333,3.375,4.208333333,4.416666667,3.229166667
3.25,3.854166667,3.833333333,3.5625,3.500416667
3.857083333,3.583333333,3.958333333,3.293541667,2.74125
2.75,3.625,3.229166667,3.4375,2.8125
2.854166667,3.75,3.270833333,3.541666667,2.770833333
2.541666667,3.458333333,3.729166667,3.520833333,3.4375
2.979166667,3.229166667,3.3125,3.770833333,3.4375
2.6875,3.916666667,4.166666667,3.666666667,3.75
3.0625,3.520833333,2.875,3,3.75
2.625,3.520833333,3.604166667,3.541666667,2.836666667
2.479166667,3.770833333,3.25,3.833333333,2.645833333
2.270833333,3.5625,3.583333333,3.333333333,3.083333333
2.958333333,3.375,3.291666667,3.166666667,3.291666667
2.58625,3.6875,3.354166667,3.626875,3.25
3.520833333,3.041666667,3.354166667,3.354166667,2.75
2.375,3.083333333,3.541666667,3.041666667,3.708333333
2.291666667,4.270833333,3.75,3.833333333,3.625
3.08625,3.333333333,3.208333333,3.356041667,3.604166667
2.5625,3.520833333,3.666666667,3.5,3.5
3.375,3.474375,3.458333333,3.50375,2.93125
2.75,3.666666667,3.541666667,3.166666667,3.166666667
2.791666667,3.166666667,3.0625,3.020833333,3.0625
2.708333333,3.145833333,3.625,3.583333333,3.770833333
3.1875,3.666666667,3.583333333,2.854166667,2.979166667
2.5625,3.395833333,3.0625,3.9375,3.708333333
2.14875,4.020833333,3.791666667,2.585208333,2.75
2.9375,3.604166667,4.125,3.708333333,3.541666667
2.8125,3.625,3.4375,3.270833333,3.354166667
2.857083333,3.729166667,3.270833333,3.585208333,2.8125
3.020833333,3.4375,3.166666667,3.645833333,4.041666667
3.479166667,3.125,3.5,2.916666667,2.770833333
2.625,3.291666667,3.895833333,3.291666667,3.25
3.104166667,2.979166667,4.125,3.270833333,2.838125
2.208333333,4.083333333,3.416666667,3.291666667,3.75
3.1875,3.166666667,3.6875,3.520833333,2.833333333
2.666666667,3.520833333,3.5625,3.645833333,3.4375
2.732083333,3.770833333,3.270833333,3.16125,2.895833333
2.4375,3.458333333,3.5,3.8125,3.4375
2.482083333,3.5,3.852083333,3.251875,2.75
3.6875,3.125,4.176041667,4.083333333,2.541666667
3.604166667,3.1875,3.8125,3.5625,3.458333333
2.979166667,2.6875,3.166666667,3.25,2.791666667
2.208333333,3.6875,3.708333333,3.604166667,3.679791667
3.6875,3.375,3.541666667,3.166666667,2.895833333
2.791666667,3,3.3125,3.333333333,3.270833333
3.333333333,3.583333333,3.520833333,3.554583333,3.145833333
2.333333333,3.208333333,3.333333333,3.958333333,3.895833333
2.291666667,3.791666667,3.395833333,3.208333333,3.916666667
2.645833333,4.1875,3.708333333,4.020833333,2.979166667
2.044583333,3.270833333,4.083333333,4.085208333,3.395833333
2.979166667,2.854166667,3.0625,3.479166667,2.875
2.791666667,3.645833333,4.1875,3.083333333,3.229166667
2.708333333,3.541666667,3.6875,3.770833333,3.229166667
2.708333333,3.416666667,3.145833333,1.9375,2.979166667
2.6875,3.354166667,3.041666667,3.375,3.1875
3.083333333,3.645833333,3.375,3.479166667,3.8125
2.875,3.916666667,3.75,2.979166667,2.770833333
2.291666667,2.854166667,4.1875,4.270833333,3.1875
3.354166667,3.916666667,3.479166667,3.166666667,3.9375
2.458333333,4,3.5625,3.5,3.270833333
2.708333333,3.333333333,3.604166667,3.458333333,3.166666667
2.458333333,3.5,3.5,3.166666667,3.5625
2.75,3.333333333,3.645833333,3.5625,3.25
2.583333333,3.583333333,3.229166667,3.645833333,2.958333333
3.5,2.791666667,3.1875,3.229166667,3.104166667
2.670416667,3.354166667,3.4375,3.376875,3.770833333
3.333333333,2.8125,2.875,3.041666667,3.354166667
3.08625,3.041666667,3.895833333,3.585208333,3.4375
2.75,3.395833333,3.5,3.520833333,3.395833333
2.791666667,3.520833333,3.458333333,3.625,3.229166667
2.416666667,3.541666667,3.541666667,3.541666667,2.75
2.583333333,3.770833333,3.895833333,3.3125,3.291666667
3.3125,3.291666667,3.770833333,3.979166667,3.145833333
2.770833333,3.479166667,3.5625,3.479166667,3.333333333
2.958333333,3.645833333,3.583333333,3.0625,2.979166667
2.770833333,3.5,3.916666667,3.458333333,2.854166667
2.604166667,3.75,3.333333333,3.645833333,3.020833333
2.375,4.125,3.666666667,3.9375,3.229583333
3.208333333,3.770833333,3.5625,3.5,3.0625
3.08625,3.479166667,3.416666667,3.543541667,2.979166667
2.8125,3.458333333,3.416666667,3.229166667,3.14875
2.4375,4,4.1875,3.1875,3.375
2.854166667,3.875,3.791666667,3.8125,3.3125
3.0625,3.625,3.645833333,3.229166667,3.416666667
2.458333333,3.208333333,3.208333333,3.979166667,3.729166667
2.5,3.041666667,3.8125,3.291666667,3.229166667
2.020833333,3.875,3.875,3.25,3.25
2.3125,3.791666667,3.3125,3.666666667,3.604166667
2.9375,3.416666667,3.583333333,3.854166667,2.604166667
2.729166667,3.666666667,3.416666667,3.708333333,3.041666667
2.354166667,3.5625,3.541666667,3.458333333,3.145833333
2.77375,3.541666667,3.1875,3.335208333,2.875
3.604166667,3.125,3.395833333,3.25,2.6875
2.833333333,3.200833333,3.40375,3.442291667,3.402083333
2.520833333,3.40125,3.395833333,3.5,3.25
2.625,3.8125,3.520833333,3.1875,3.270833333
2.99875,4.125,4.458333333,3.104166667,2.807708333
3.645833333,2.618958333,3.479166667,3.416666667,2.875
2.8125,2.666666667,3.208333333,3.0625,3.395833333
2.583333333,3.625,3.479166667,3.270833333,3.354166667
3.1875,3.1875,3.895833333,4.166666667,3.479166667
2.8125,3.020833333,4.020833333,3.875,3.208333333
1.895833333,3.354166667,3.1875,3.333333333,3.083333333
2.604166667,3.416666667,4.041666667,3.354166667,3.229166667
2.375,3.520833333,3.25,3.354166667,3.645833333
2.541666667,3.854166667,4,3.166666667,3.583333333
2.375,3.375,3.854166667,3.5,3.395833333
2.895833333,2.520833333,3.49375,4.0625,4.229166667
3.208333333,3.26625,3.541666667,3.541666667,3.166666667
2.958333333,3.708333333,4.25,2.979166667,3.395833333
2.125,3.666666667,3.4375,3.5,3.5
2.958333333,3.5,3.666666667,3.645833333,3.520833333
2.833333333,3.3125,3.5,3.625,3.5625
2.729166667,3.875,3.854166667,3.0625,3.333333333
2.604166667,3.145833333,3.270833333,3.5,3.166666667
2.583333333,3.645833333,3.645833333,3.166666667,2.9375
2.645833333,3.375,3.791666667,3.729166667,3.291666667
3.75,3.291666667,3.895833333,4,3.104166667
3,3.3125,4.0625,4.125,2.479166667
2.416666667,3.916666667,3.25,3.645833333,3.354166667
2.770833333,3.75,3.333333333,3.020833333,3.5
3.208333333,3.458333333,3.645833333,2.979166667,3.270833333
2.0625,3.476041667,3.1875,3.5625,3.020833333
2.6875,3.458333333,3.791666667,3.4375,2.979166667
1.916666667,3.25,3.645833333,3.416666667,3.583333333
4.354166667,3.0625,4.229166667,3.770833333,2.854166667
3.8125,3.416666667,3.25,2.8125,2.791666667
3.6875,2.958333333,3.5625,3.75,2.708333333
3.145833333,2.9375,3.791666667,2.958333333,2.729166667
3.0625,3.895833333,3.895833333,3.375,2.666666667
2.291666667,3.577708333,3.520833333,3.791666667,3.458333333
3.229166667,3.098125,3.520833333,3.4375,2.770833333
3.5625,2.770833333,3.541666667,2.9375,2.625
2.625,3.25,2.916666667,2.979166667,2.8125
3.25,3.895833333,3.645833333,3.416666667,3.166666667
2.3125,3.541666667,3.583333333,3.145833333,3.458333333
2.770833333,4.0625,3.854166667,3.729166667,3.708333333
2.603333333,3.625,2.916666667,2.958333333,2.958333333
3.208333333,3.520833333,4.083333333,3.895833333,3.166666667
2.395833333,3.6875,4.354166667,3.604166667,2.9375
2.708333333,3.979166667,3.583333333,2.770833333,3.020833333
3.625,2.333333333,2.9375,3.375,3.208333333
2.9375,3.604166667,3.9375,3.270833333,3.354166667
3.541666667,3.166666667,3.4375,3.375,3.458333333
2.041666667,3.395833333,3.166666667,2.854166667,3.9375
2.166666667,3.916666667,4,3.75,3.416666667
1.833333333,3.895833333,3.5625,3.25,3.291666667
2.395833333,3.5625,3.458333333,3.708333333,3.333333333
2.083333333,3.541666667,3.3125,2.833333333,3.479166667
2.541666667,3.541666667,3.833333333,3.6875,3.541666667
2.333333333,2.770833333,3.4375,2.3125,3.5625
2.395833333,3.541666667,3.75,3.479166667,3.416666667
2.9375,3.604166667,3.833333333,3.625,3.1875
3.020833333,3.270833333,3.166666667,2.895833333,3.125
2.020833333,3.8125,3.8125,3.479166667,3.541666667
2.791666667,3.9375,3.3125,3.333333333,3.1875
2.479166667,3.604166667,3.416666667,3.541666667,3.333333333
2.604166667,4.229166667,4.291666667,3.458333333,3.25
2.833333333,3.395833333,2.958333333,2.979166667,3.458333333
2.854166667,3.291666667,3.895833333,2.541666667,2.541666667
3.333333333,3.770833333,3.416666667,3.541666667,3.1875
2.666666667,3.395833333,3.25,2.666666667,2.708333333
2.479166667,3.520833333,3.561666667,3.8125,3.166666667
3.145833333,3.604166667,3.229166667,3.125,3.5625
2.9375,3.1875,3.604166667,3.583333333,3
2.603125,3.291666667,3.241458333,3.041666667,3.145833333
3.208333333,2.919375,2.791041667,2.9375,2.875
3.104166667,3.25,3.916666667,2.8125,3.0625
3.333333333,3.854166667,3.729166667,3.4375,2.270833333
3.6875,2.744166667,4.104166667,2.791666667,2.916666667
2.541666667,3.646041667,3.625,3.5,3.229166667
2.604166667,3.479166667,3.188125,3.354166667,3.604166667
2.645833333,3.3125,3.25,3.354166667,2.520833333
4.083333333,3.4375,4.083333333,2.520833333,3.375
2.208333333,4.166666667,3.541666667,3.64875,3.354166667
2.916666667,3.375,3.770833333,3.5625,2.9375
2.583333333,3.979166667,3.666666667,3.1875,2.25
3.020833333,3.5,3.104166667,3.895833333,3.833333333
2.166666667,3.1875,3.291666667,3.375,3.354166667
2.5,3.520833333,3.1875,3.5,3.833333333
2.395833333,3.6875,3.5,3.479166667,2.854166667
3.104166667,2.9375,3.895833333,3.979166667,3.525208333
3.0625,3.979166667,4.083333333,3.3125,3.020833333
2.208333333,3.895833333,3.416666667,2.895833333,3.291666667
3.1875,3.104166667,3.01875,3.698541667,3.468333333
2.8125,3.604166667,3.666666667,3.895833333,3.625
2.645833333,3.708333333,3.9375,3.833333333,3.9375
2.458333333,3.8125,3.729166667,3.166666667,3.416666667
2.583333333,3.354166667,3.6875,3.395833333,2.916666667
2.4375,3.833333333,3.708333333,3.75,3.4375
2.916666667,3.645833333,3.375,3.375,3.541666667
2.895833333,3.479166667,3.375,3.6875,3
2.708333333,3.791666667,3.604166667,3.75,3.208333333
2.291666667,3.791666667,3.979166667,3.25,3.770833333
3.125,3.5625,3.520833333,3.458333333,2.770833333
2.5,3.6875,3.354166667,3.6875,3.8125
3.458333333,3.475625,3.270833333,3.1875,3.145833333
2.916666667,3.354166667,3.520833333,3.604166667,3.625
2.208333333,3.708333333,3.8125,3.5,3.020833333
2.708333333,3.458333333,3.6875,3,3.270833333
3,3.8125,4.145833333,3.895833333,3.395833333
2.541666667,3.104166667,3.833333333,3.833333333,3.3125
3.479166667,3.541666667,3.625,3.645833333,3.0625
3.395833333,3.75,4.041666667,4.0625,3.395833333
1.729166667,4.0625,3.854166667,3.4375,4.291666667
3.270833333,2.875,3.458333333,3.354166667,2.791666667
3.270833333,3.604166667,3.104166667,3.270833333,3.291666667
3.479166667,3.375,4.208333333,3.708333333,3.5
2.25,3.666666667,3.6875,3.8125,3.854166667
2.979166667,3.395833333,3.416666667,3.125,2.4375
2.791666667,3.895833333,4.208333333,3.3125,3.229166667
2.791666667,3.8125,3.625,3.604166667,3.229166667
3.3125,3.4375,3.3125,3.354166667,2.895833333
3.541666667,3.375,3.666666667,3.25,3.083333333
2.375,3.770833333,3.791666667,3.395833333,3.0625
3.166666667,3.520833333,3.854166667,3.166666667,3.395833333
2.75,3.854166667,4.3125,3.541666667,2.75
2.625,3.041666667,3.729166667,3.416666667,3.083333333
2.333333333,3.083333333,4,3.587708333,4.083333333
2.208333333,3.583333333,3.583333333,4.145833333,2.9375
2.395833333,3.416666667,3.5625,3.604166667,3.375
2.479166667,3.645833333,3.604166667,3.645833333,3.708333333
3.291666667,3.354166667,3.8125,3.041666667,3.0625
2.5,3.541666667,4.083333333,3.833333333,3.333333333
2.666666667,3.5,3.5625,3.3125,3.125
2.875,2.958333333,3.375,3.520833333,3.354166667
1.9375,3.020833333,3.166666667,3.291666667,2.8125
2.354166667,3.6175,3.375,3.875,3.458333333
2.833333333,3.520833333,3.395833333,2.916666667,3.1875
3.020833333,3.770833333,4.020833333,3.395833333,3.104166667
2.291666667,3.729166667,3.791666667,3.791666667,3.416666667
2.229166667,4.125,4.458333333,4.145833333,3.8125
3.229166667,3.583333333,3.333333333,3.020833333,3.0625
3.229166667,3.4375,3.395833333,3.291666667,3.1875
2.875,3.5625,3.479166667,3.315416667,3.208333333
1.6875,4.25,3.9375,3.625,3.645833333
2.583333333,3.333333333,3.5625,3.5,3.416666667
2.4375,3.708333333,3.166666667,3.520833333,3.145833333
2.520833333,3.6875,3.604166667,3.395833333,3.958333333
2.790416667,2.5,3.979166667,3.854166667,3.645833333
3.958333333,2.791666667,4.083333333,3.416666667,3.375
3.1875,3.229166667,3.479166667,4.0625,3.354166667
3.125,2.791666667,3.416666667,3.291666667,3.375
3.5625,2.354166667,3.25,3.25,2.791666667
3.645833333,3.708333333,3.541666667,4.020833333,2.291666667
3.654375,3.979166667,3.602083333,3.583333333,2.791666667
2.020833333,3.729166667,3.4375,3.666666667,3.708333333
2.729166667,3.666666667,2.9375,3.520833333,3.0625
2.1875,3.229166667,3.354166667,3.204791667,3.604166667
2.583333333,3.645833333,3.708333333,3.270833333,3.9375
2.645833333,3.979166667,4.0625,3.104166667,3.25
2.791666667,3.583333333,3.916666667,3.75,2.354166667
3.07125,3.333333333,3.791666667,4.270833333,3.833333333
3.479166667,2.6875,3.333333333,2.875,2.645833333
3.125,3.416666667,4.083333333,3.395833333,3.145833333
2.458333333,3.520833333,3.666666667,3.479166667,3.5625
2.8125,2.958333333,3.354166667,3.625,3
2.166666667,4.270833333,3.166666667,3.625,3.1875
2.708333333,3.583333333,3.270833333,2.9375,2.9375
3.145833333,3.5625,3.5625,3.458333333,3.4375
2.75,4.104166667,3.875,3.9375,4.291666667
2.979166667,3.333333333,3.4375,3.375,2.791666667
3.5,3.479166667,3.833333333,3.541666667,2.895833333
3.291666667,3.625,3.645833333,3.666666667,2.729166667
2.833333333,3.395833333,3.979166667,3.6875,4.125
2.208333333,4.083333333,3.854166667,4.206458333,3.708333333
3.5,3.291666667,3.5625,3.0625,3.5625
2.8125,3.660208333,3.5625,4.166666667,3.145833333
3.270833333,3.520833333,3.1875,3.083333333,3
2.979166667,3.354166667,3.333333333,3.645833333,3.145833333
2.978333333,3.229166667,4.229166667,3.041666667,3.25
2.583333333,3.25,2.875,3.270833333,3.729166667
3.145833333,3.458333333,3.291666667,3.416666667,3.0625
2.854166667,3.791666667,3.645833333,3.525208333,3.291666667
2.9375,3.598125,3.5625,3.504375,3.416666667
2.645833333,4.166666667,4.020833333,3.958333333,3.25
1.979166667,4.166666667,3.270833333,4.166666667,3.4375
3.270833333,3.9375,3.625,3.666666667,3.458333333
2.729166667,3.208333333,3.916666667,3.583333333,3.666666667
3.020833333,3.645833333,3.875,3.833333333,3.145833333
2.916666667,3.25,3.75,3.1875,3.5
3.354166667,3.083333333,3.833333333,3.604166667,2.666666667
2.645833333,3.392291667,3.449791667,3.625,3.541666667
3.291666667,3.645833333,3.416666667,3.1875,2.5625
2.833333333,3.520833333,3.9375,3.229166667,2.895833333
2.479166667,3.8125,4,3.729166667,3.270833333
2.916666667,3.395833333,3.228333333,3.5,2.5
3.166666667,3.0625,3.922291667,3.270833333,2.666666667
3.520833333,3.916666667,3.916666667,3.447083333,3.020833333
3,3.020833333,3.75,3.8125,2.729166667
3.104166667,3.4375,2.884583333,3.1875,3.145833333
2.1875,3.770833333,3.958333333,3.416666667,3.020833333
2.479166667,3.9375,3.981875,3.5625,3.416666667
3,3.625,3.791666667,3.375,2.895833333
2.041666667,3.0625,3.5,3.583333333,3.979166667
3.833333333,3.708333333,3.583333333,3.007083333,2.3125
3.040416667,3.0625,2.979166667,3.3125,3.770833333
3.166666667,3.3125,3.25,3.791666667,3.041666667
2.25,3.416666667,4.057708333,3.770833333,4.0625
3.770833333,3.315208333,3.666666667,3.541666667,3.145833333
3.145833333,3.666666667,3.25,3.583333333,3.729166667
2.4375,3.375,3.375,3.1875,2.9375
3.541666667,3.5,3.729166667,2.354166667,2.729166667
2.479166667,3.375,4.083333333,3.625,2.479166667
3.041041667,3.145833333,2.979166667,3.229166667,2.770833333
3.354166667,3.708333333,3.395833333,3.5625,3.083333333
2.9375,3.645833333,3.985416667,3.770833333,3.083333333
2.811458333,4.083333333,3.854166667,3.6875,3.74125
3.916666667,3.166666667,3.270833333,3.708333333,3.4375
2.833333333,3.541666667,3.270833333,3.375,3.1875
2.729166667,4.020833333,4.104166667,3.833333333,3.270833333
3.333333333,3.5,3.583333333,3.625,3.354166667
2.0625,3.645833333,3.625,3.4375,3.1875
2.520833333,3.583333333,3.958333333,3.3125,3.1875
3.041666667,4.125,4.083333333,2.875,3
2.520833333,3.541666667,3.833333333,3.541666667,3.541666667
2.333333333,3.3125,3.25,3.270833333,3.395833333
2.583333333,3.645833333,3.208333333,4.020833333,3.4375
2.604166667,3.25,2.916666667,3.416666667,3.270833333
2.4375,3.875,4,3.6875,2.958333333
2.708333333,3.604166667,3.166666667,3.541666667,3.020833333
1.958333333,4.291666667,4.3125,2.729166667,2.791666667
3.0625,3.229166667,3.416666667,3.395833333,2.791666667
3.604166667,2.854166667,3.916666667,3.6875,1.8125
2.9375,3.541666667,3.729166667,3.083333333,2.125
2.371041667,3.338541667,2.666666667,3.597291667,3.5625
3.354166667,3.270833333,3.604166667,3.333333333,3.166666667
2.6875,3.666666667,3.372916667,3.166666667,2.4375
2.9375,3.8125,4.0625,3.291666667,2.75
3.479166667,3.895833333,3.104166667,3.25,3.3125
4.104166667,3.520833333,4.407083333,3.604375,2.333333333
2.604166667,3.833333333,4.125,3.458333333,2.791666667
2.291666667,3.229166667,3.729166667,3.708333333,3.6875
2.3125,3.6875,3.291666667,2.8125,3.5625
4.375,3.541666667,3.791666667,2.979166667,2.583333333
3.270833333,3.145833333,3.354166667,3.833333333,2.833333333
2.520833333,3.625,3.6875,4,2.8125
1.9375,3.8125,3.958333333,3.895833333,3.791666667
2.6875,3.416666667,4.525,3.916666667,3.479166667
3.5,3.1875,3.875,4.125625,3.020833333
2.4375,3.854166667,3.6875,4.020833333,3.520833333
2,3.541666667,4.145833333,3.625,3.0625
2.625,3.645833333,3.770833333,3.520833333,3.833333333
2.833333333,3.333333333,3.604166667,3.333333333,3.416666667
3.104166667,3.3125,3.75,3.520833333,3.25
2.895833333,3.125,3.875,3.6875,3.791666667
2.5625,3.5,3.145833333,3.3125,3.083333333
3.0625,3.4375,3.328541667,3.041666667,3.125
3.083333333,3.395833333,4,3.229166667,3.104166667
3.520833333,2.416666667,3.0625,3.5625,3
2.083333333,3.666666667,3.583333333,3.458333333,3.395833333
2.541666667,3.5625,3.145833333,3.458333333,2.895833333
